"","ProbeID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC_Tumor_vs_Normal","ProbeID_clean","Gene_Name","ENTREZ_ID"
"3","11715119_s_at","C2CD4B",154.040087071429,175.165715464286,2.8833201457119,0.00770280548234676,0.0294975538872051,-2.46290179279578,-154.040087071429,"11715119","C2 calcium-dependent domain containing 4B","388125"
"4","11715120_s_at","HIST1H2BE",2.44737453571429,15.898930375,3.4114380885355,0.00208051818642005,0.0105608052428546,-1.33039502626744,-2.44737453571429,"11715120","histone cluster 1, H2be","8344"
"5","11715125_at","MORC2",151.639227142857,238.850902857143,7.98653773152197,1.56289781656352e-08,1.51967200096762e-06,8.74523840503387,-151.639227142857,"11715125_at","MORC family CW-type zinc finger 2","22880"
"7","11715151_x_at","PRB3",2.37009042857143,15.09273025,3.01795012437522,0.00555582103344488,0.022824916135479,-2.1817925170458,-2.37009042857143,"11715151","proline-rich protein BstNI subfamily 3","5544"
"8","11715161_s_at","KRTAP21-2",2.25450610714286,14.2046595178571,3.16472329946018,0.00386852611460295,0.0171515884957197,-1.86898629008013,-2.25450610714286,"11715161","keratin associated protein 21-2","337978"
"11","11715177_s_at","TDRKH",11.84177475,19.2959209464286,3.75398562534038,0.000862114174063287,0.00529324171881368,-0.56173987098486,-11.84177475,"11715177","tudor and KH domain containing","11022"
"12","11715182_x_at","FAM86C1",12.1483212142857,109.645659178571,3.515844920714,0.00159403260519597,0.00857237240431735,-1.09835909343248,-12.1483212142857,"11715182","family with sequence similarity 86, member C1","55199"
"13","11715184_x_at","RPL38",300.224685714286,1958.97683571429,2.82796329440663,0.00879638181395705,0.0327835479334317,-2.57672042108144,-300.224685714286,"11715184","ribosomal protein L38","6169"
"15","11715211_s_at","ZNF680",3.81204835714286,18.5738156785714,2.92280750567718,0.00700278027239448,0.0273332541726531,-2.38106736363971,-3.81204835714286,"11715211","zinc finger protein 680","340252"
"17","11715220_s_at","C2orf44",4.30734207142857,17.5956868928571,2.60666637503261,0.0148037597242596,0.0493808557252705,-3.02031855094368,-4.30734207142857,"11715220","chromosome 2 open reading frame 44","80304"
"18","11715221_x_at","NSUN5",91.2575388571429,134.113870571429,5.98705412412255,2.33551228453472e-06,5.8117193599291e-05,4.57527664280686,-91.2575388571429,"11715221","NOP2/Sun domain family, member 5","55695"
"21","11715230_s_at","PARD6A",16.2015135714286,41.9581968571429,3.07104811088601,0.00487713276701378,0.0205814586097091,-2.06935310353012,-16.2015135714286,"11715230","par-6 family cell polarity regulator alpha","50855"
"22","11715231_x_at","RPL36",433.894759285714,957.148398214286,6.06932543431953,1.88447935460008e-06,4.99644968977298e-05,4.75852405323181,-433.894759285714,"11715231","ribosomal protein L36","25873"
"23","11715232_x_at","RPL36",43.2443435714286,104.554543214286,7.88039011424816,2.01392195439763e-08,1.77956484682417e-06,8.54015704129179,-43.2443435714286,"11715232","ribosomal protein L36","25873"
"24","11715234_s_at","UCN",8.0158255,33.77086675,3.85800258240994,0.000657390470281219,0.00430134238098608,-0.324685596300712,-8.0158255,"11715234","urocortin","7349"
"25","11715239_x_at","IFITM3",2108.08529,2312.30721214286,5.74310552665549,4.42724339626049e-06,9.32158837214036e-05,4.02717806680314,-2108.08529,"11715239","interferon induced transmembrane protein 3","10410"
"26","11715240_at","ZNF184",35.9705039285714,85.1216781785714,3.89943031482311,0.000589878981733744,0.00396908763148594,-0.229896810079492,-35.9705039285714,"11715240_at","zinc finger protein 184","7738"
"27","11715252_at","RSRC1",42.0089081428572,83.9817473571429,4.18129604378072,0.000280861670421615,0.00222077192419973,0.419505133277949,-42.0089081428572,"11715252_at","arginine/serine-rich coiled-coil 1","51319"
"28","11715258_s_at","PTMS",23.591699,144.985587642857,2.64051253230528,0.013686052935191,0.0463251274401261,-2.95372479657209,-23.591699,"11715258","parathymosin","5763"
