"","ProbeID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC_Tumor_vs_Normal","ProbeID_clean","Gene_Name","ENTREZ_ID"
"2820","11722085_a_at","PDCD2L",123.2639725,133.154340178571,13.0971683120121,4.2127581355236e-13,5.96725753856984e-09,16.4747479549337,-123.2639725,"11722085","programmed cell death 2-like","84306"
"6273","11732128_s_at","CCT4",1328.11707857143,2394.77146785714,12.5942860846647,1.0370109468943e-12,8.53719262030736e-09,15.8812912205063,-1328.11707857143,"11732128","chaperonin containing TCP1, subunit 4 (delta)","10575"
"1231","11718027_a_at","PUS1",259.372157142857,278.963641428571,12.5036625405752,1.22318040950538e-12,8.63128518964546e-09,15.770981265177,-259.372157142857,"11718027","pseudouridylate synthase 1","80324"
"493","11716383_x_at","CCT3",710.823167142857,1121.840195,12.3760678444991,1.54557210443683e-12,9.50235163382351e-09,15.6138833364428,-710.823167142857,"11716383","chaperonin containing TCP1, subunit 3 (gamma)","7203"
"6224","11731900_s_at","PPAT",135.0505965,131.988714607143,11.9111084604164,3.67917489734142e-12,1.13583027533862e-08,15.0233297540677,-135.0505965,"11731900","phosphoribosyl pyrophosphate amidotransferase","5471"
"4971","11727834_at","WDR43",91.0891965714286,116.994058142857,11.8580981395719,4.06767630370729e-12,1.18189924130366e-08,14.9541588264928,-91.0891965714286,"11727834_at","WD repeat domain 43","23160"
"4193","11725665_at","HS2ST1",125.539010428571,147.378551214286,11.7248394769897,5.24251224643105e-12,1.23311377339268e-08,14.7785745222056,-125.539010428571,"11725665_at","heparan sulfate 2-O-sulfotransferase 1","9653"
"11005","11750144_x_at","CCT3",710.196502142857,1112.13787035714,11.4310828328337,9.23684863049772e-12,1.67465647223882e-08,14.3827863829066,-710.196502142857,"11750144","chaperonin containing TCP1, subunit 3 (gamma)","7203"
"13350","11757706_a_at","DCUN1D5",604.483898571429,589.975961428571,11.4586654531215,8.75477589708242e-12,1.67465647223882e-08,14.4204667446282,-604.483898571429,"11757706","DCN1, defective in cullin neddylation 1, domain containing 5","84259"
"9246","11744098_at","NOP58",775.926140714286,1037.50802964286,11.2752489511975,1.25244425268357e-11,2.08594894063334e-08,14.1678605249054,-775.926140714286,"11744098_at","NOP58 ribonucleoprotein","51602"
"492","11716382_a_at","CCT3",690.330620714286,1159.58309678571,11.2122558070353,1.41761879982869e-11,2.12191759447086e-08,14.0799878832736,-690.330620714286,"11716382","chaperonin containing TCP1, subunit 3 (gamma)","7203"
"13509","11758073_s_at","ZC3H15",499.168907142857,1131.33876785714,11.1769591833189,1.51982492170736e-11,2.14490720022101e-08,14.0304989094241,-499.168907142857,"11758073","zinc finger CCCH-type containing 15","55854"
"7088","11735123_x_at","POLR1E",94.6033181428571,150.388885928571,10.9871169515662,2.21564079678766e-11,2.8061942860853e-08,13.7611950288194,-94.6033181428571,"11735123","polymerase (RNA) I polypeptide E","64425"
"12147","11754596_x_at","PAICS",369.311197142857,479.033612857143,10.9481836683248,2.39497846985729e-11,2.95749903796503e-08,13.7053085287014,-369.311197142857,"11754596","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase","10606"
"4980","11727850_x_at","NIP7",80.9402922857143,122.935303857143,10.8981623792344,2.64756000874759e-11,3.18966406419724e-08,13.6331749204016,-80.9402922857143,"11727850","NIP7, nucleolar pre-rRNA processing protein","51388"
"3880","11724845_a_at","NR2C2AP",52.1657379285715,79.7267973214286,10.88491548771,2.71893711886346e-11,3.19766426157764e-08,13.6140096201671,-52.1657379285715,"11724845","nuclear receptor 2C2-associated protein","126382"
"1328","11718290_a_at","FXYD5",115.5219935,152.153175392857,10.8702964350633,2.8000117074877e-11,3.21643205328733e-08,13.5928286557507,-115.5219935,"11718290","FXYD domain containing ion transport regulator 5","53827"
"3150","11722944_at","PALB2",110.435524285714,191.837953571429,10.8541437657474,2.89249178485227e-11,3.22598864880917e-08,13.569388492278,-110.435524285714,"11722944_at","partner and localizer of BRCA2","79728"
"843","11717157_a_at","ACP1",379.361045714286,678.601227857143,10.8064731640752,3.18420048504166e-11,3.24512750800385e-08,13.4999824245574,-379.361045714286,"11717157","acid phosphatase 1, soluble","52"
"12919","11756637_a_at","RNF219",172.380629642857,231.259555178571,10.7910587249685,3.28487448932468e-11,3.24512750800385e-08,13.4774666443081,-172.380629642857,"11756637","ring finger protein 219","79596"
