"","ProbeID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC_Tumor_vs_Normal","ProbeID_clean","Gene_Name","ENTREZ_ID"
"1","11715104_s_at","OTOP2",-31.3707420357143,32.5980233392857,-6.43802426301078,7.25965953605652e-07,2.46225044990996e-05,5.56885862971167,31.3707420357143,"11715104","otopetrin 2","92736"
"2","11715110_at","ARRDC5",-7.29231564285714,37.3330619642857,-4.2991054878163,0.000205561224071671,0.00174613927531727,0.692646145677037,7.29231564285714,"11715110_at","arrestin domain containing 5","645432"
"6","11715137_s_at","SSX2B /// SSX7",-16.1822257142857,166.84917,-2.66935217158279,0.0127963360298891,0.0439459791556958,-2.89661162589879,16.1822257142857,"11715137","synovial sarcoma, X breakpoint 2B /// synovial sarcoma, X breakpoint 7","280658 /// 727837"
"9","11715164_s_at","IGLL3P",-110.816327,92.1692529285714,-8.85152994953433,2.09256374604196e-09,3.6395135998501e-07,10.3445599195678,110.816327,"11715164","immunoglobulin lambda-like polypeptide 3, pseudogene","91353"
"10","11715171_at","DEPDC5",-21.1920702857143,72.0297792142857,-2.77748170837998,0.00991997219480273,0.0359608777646002,-2.67956063765898,21.1920702857143,"11715171_at","DEP domain containing 5","9681"
"14","11715207_at","WDFY4",-31.5999845,60.6628491071429,-4.47002190543694,0.000130517743328661,0.001225883995383,1.08995761766956,31.5999845,"11715207_at","WDFY family member 4","57705"
"16","11715217_s_at","MOGAT2",-35.9376473571429,42.3984726071429,-6.8475299873431,2.55839111106791e-07,1.12330425716622e-05,6.44612679553189,35.9376473571429,"11715217","monoacylglycerol O-acyltransferase 2","80168"
"19","11715222_at","MAGI3",-50.9112692857143,184.529473214286,-3.16334893224689,0.00388176137861841,0.0171979193915918,-1.87194370035434,50.9112692857143,"11715222_at","membrane associated guanylate kinase, WW and PDZ domain containing 3","260425"
"20","11715228_s_at","SLC51B",-341.489265285714,219.715413071429,-7.36294216876749,7.07732700285578e-08,4.48760676901234e-06,7.5130989435381,341.489265285714,"11715228","solute carrier family 51, beta subunit","123264"
"33","11715292_at","ST8SIA1",-3.27805171428571,11.6368325,-5.25884540426429,1.59455545015341e-05,0.000243246036010895,2.92120074986502,3.27805171428571,"11715292_at","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1","6489"
"34","11715293_s_at","TRPT1",-13.2302656857143,22.8184519428571,-4.23379194617069,0.000244422573159321,0.00199525462975732,0.541123553736465,13.2302656857143,"11715293","tRNA phosphotransferase 1","83707"
"35","11715294_s_at","HECTD2",-1.98461529285714,8.24764914642857,-2.94557023642631,0.00662712272227788,0.0261919288579705,-2.33365672404831,1.98461529285714,"11715294","HECT domain containing E3 ubiquitin protein ligase 2","143279"
"43","11715318_s_at","CYP2C19",-1.17205532142857,7.94486396785714,-2.72545679949747,0.0112183582750514,0.0396175596622695,-2.78455451232627,1.17205532142857,"11715318","cytochrome P450, family 2, subfamily C, polypeptide 19","1557"
"44","11715320_s_at","TTN",-1.89555874285714,9.64955473571429,-4.2828682541238,0.000214608649969148,0.00180466364746784,0.654957423223886,1.89555874285714,"11715320","titin","7273"
"45","11715321_x_at","KRTAP10-8",-27.5259814285714,193.403243571429,-3.57326095646874,0.00137565971677953,0.00762604733909407,-0.969857279238001,27.5259814285714,"11715321","keratin associated protein 10-8","386681"
