"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Tumor_vs_Normal","B","GeneName","ENTREZID"
"210511_s_at","INHBA",2.34923354220779,7.24175054054054,10.8270284635587,4.09966062262888e-19,1.94028241379857e-15,-2.34923354220779,32.8259670827314,"inhibin subunit beta A","3624"
"203256_at","CDH3",1.79287508116883,7.65086900900901,9.941650644954,4.59346810886576e-17,7.30919207580019e-14,-1.79287508116883,28.2567494464294,"cadherin 3","1001"
"212942_s_at","CEMIP",2.27372356168831,7.26671432432432,8.97288492806889,7.84766996083473e-15,5.16473598321771e-12,-2.27372356168831,23.2747912147098,"cell migration inducing hyaluronidase 1","57214"
"217996_at","PHLDA1",2.03197844805195,8.59390918918919,8.96792525892526,8.05576292848265e-15,5.16473598321771e-12,-2.03197844805195,23.2494240681205,"pleckstrin homology like domain family A member 1","22822"
"218507_at","HILPDA",1.53503208766234,7.99092369369369,8.96654943356868,8.11445703697177e-15,5.16473598321771e-12,-1.53503208766234,23.2423875010013,"hypoxia inducible lipid droplet associated","29923"
"218145_at","TRIB3",1.43811793181818,7.00028279279279,8.80298882411337,1.92116295344605e-14,1.04384749058336e-11,-1.43811793181818,22.4069960539466,"tribbles pseudokinase 3","57761"
"202404_s_at","COL1A2",1.79152965909091,11.3334238738739,8.46770201496922,1.11506238549318e-13,4.6868386342701e-11,-1.79152965909091,20.7025545251784,"collagen type I alpha 2 chain","1278"
"203367_at","DUSP14",1.08770950324675,7.63393216216216,8.17407389867959,5.14535921416615e-13,1.48587784829278e-10,-1.08770950324675,19.2206970120293,"dual specificity phosphatase 14","11072"
"204702_s_at","NFE2L3",1.658256,7.21444162162162,8.13124494207616,6.4248173062341e-13,1.76698339667873e-10,-1.658256,19.0055285267084,"NFE2 like bZIP transcription factor 3","9603"
"201506_at","TGFBI",1.43094324675325,11.9602654954955,8.11837210119606,6.86793437393321e-13,1.84333703672422e-10,-1.43094324675325,18.9409088378097,"transforming growth factor beta induced","7045"
"209545_s_at","RIPK2",1.07380793506494,8.40503657657658,7.99391208531745,1.30713028987567e-12,3.09775973059153e-10,-1.07380793506494,18.3174282310875,"receptor interacting serine/threonine kinase 2","8767"
"217997_at","PHLDA1",1.50039288961039,8.34170315315315,7.96384207723371,1.52647381313666e-12,3.50066000831304e-10,-1.50039288961039,18.1671551052168,"pleckstrin homology like domain family A member 1","22822"
"203284_s_at","HS2ST1",1.20535662012987,7.85058711711712,7.90655018276329,2.05057015614978e-12,4.43500498723774e-10,-1.20535662012987,17.8812481642242,"heparan sulfate 2-O-sulfotransferase 1","9653"
"209955_s_at","FAP",1.63157493831169,6.53036036036036,7.89241437176431,2.20529315779479e-12,4.6346524222825e-10,-1.63157493831169,17.8107888941764,"fibroblast activation protein alpha","2191"
"204597_x_at","STC1",1.10889063636364,6.36901468468468,7.76165291102344,4.31523066812024e-12,8.28710289600988e-10,-1.10889063636364,17.1606396666238,"stanniocalcin 1","6781"
"201111_at","CSE1L",1.16414618506494,9.34199063063063,7.73564809966659,4.92978847369017e-12,9.2286468763358e-10,-1.16414618506494,17.0317035705414,"chromosome segregation 1 like","1434"
"204464_s_at","EDNRA",1.26237919155844,7.65504126126126,7.7179988817745,5.39564054258406e-12,9.85235117763484e-10,-1.26237919155844,16.9442661056348,"endothelin receptor type A","1909"
"202859_x_at","CXCL8",2.67862879545455,9.85635774774775,7.59606097923495,1.0052958292438e-11,1.65888705096772e-09,-2.67862879545455,16.3417599109786,"C-X-C motif chemokine ligand 8","3576"
"218412_s_at","GTF2IRD1",1.04569468831169,8.87992513513514,7.52137342224595,1.46965104462902e-11,2.28965684130287e-09,-1.04569468831169,15.9741501580621,"GTF2I repeat domain containing 1","9569"
"204320_at","COL11A1",1.9239717922078,6.50698207207207,7.48753881319441,1.74488813132472e-11,2.64427706813067e-09,-1.9239717922078,15.8079882022509,"collagen type XI alpha 1 chain","1301"
"204595_s_at","STC1",1.32578409415585,6.82336477477477,7.41867359371119,2.47284359580127e-11,3.57711277816006e-09,-1.32578409415585,15.4705258942376,"stanniocalcin 1","6781"
"217999_s_at","PHLDA1",1.2067846948052,6.67797540540541,7.40841293940247,2.60448847563822e-11,3.71924293408927e-09,-1.2067846948052,15.4203312265741,"pleckstrin homology like domain family A member 1","22822"
"209395_at","CHI3L1",2.03159652272728,6.67319432432432,7.40677276605253,2.62616685086677e-11,3.72631330807383e-09,-2.03159652272728,15.4123096632883,"chitinase 3 like 1","1116"
"220658_s_at","BMAL2",1.06682441233766,6.34176063063063,7.38286807943457,2.96319793215533e-11,4.10007207047355e-09,-1.06682441233766,15.2954653101018,"basic helix-loop-helix ARNT like 2","56938"
"201215_at","PLS3",1.25758211688312,10.5712072972973,7.37100208638905,3.14608788049437e-11,4.32625924159093e-09,-1.25758211688312,15.2375112294799,"plastin 3","5358"
"37892_at","COL11A1",2.19733116558442,6.7727081981982,7.36462141659085,3.24901592826621e-11,4.41331267280404e-09,-2.19733116558442,15.2063604381674,"collagen type XI alpha 1 chain","1301"
"213012_at","NEDD4",1.06380762987013,7.45019846846847,7.30238342837063,4.44553449251694e-11,5.76789967976545e-09,-1.06380762987013,14.9029830103155,"NEDD4 E3 ubiquitin protein ligase","4734"
"212686_at","PPM1H",1.10175125974026,7.52298792792793,7.23643832018859,6.1915905058495e-11,7.62044539772427e-09,-1.10175125974026,14.5824889618272,"protein phosphatase, Mg2+/Mn2+ dependent 1H","57460"
"205499_at","SRPX2",1.59915312987013,7.45763468468468,7.23167628059415,6.34125978680865e-11,7.76177166322727e-09,-1.59915312987013,14.5593841479908,"sushi repeat containing protein X-linked 2","27286"
"204490_s_at","CD44",1.17600095454546,8.67341432432432,7.19811284342397,7.50281454736418e-11,8.98603224041032e-09,-1.17600095454546,14.3966889927595,"CD44 molecule (IN blood group)","960"
"208850_s_at","THY1",1.3244964448052,7.47402351351351,7.1482871129202,9.6262723490802e-11,1.08305287434575e-08,-1.3244964448052,14.1556563133738,"Thy-1 cell surface antigen","7070"
"203962_s_at","NEBL",1.60210082467533,8.7039109009009,7.13508484009031,1.02823984982146e-10,1.150119983447e-08,-1.60210082467533,14.0918901155331,"nebulette","10529"
"218872_at","TESC",1.36662006168831,6.75332252252252,7.09915774111063,1.23007256866683e-10,1.31741954866303e-08,-1.36662006168831,13.9185795230263,"tescalcin","54997"
"204259_at","MMP7",1.66097455844156,6.84057387387387,7.07194200279083,1.40865349354866e-10,1.48723098937362e-08,-1.66097455844156,13.7875039376887,"matrix metallopeptidase 7","4316"
"201417_at","SOX4",1.41772007467533,10.322621981982,7.04886101758301,1.58005419823265e-10,1.62957719324207e-08,-1.41772007467533,13.676486901398,"SRY-box transcription factor 4","6659"
"200832_s_at","SCD",1.39315503896104,10.6472408108108,6.94583650205981,2.63367363523888e-10,2.55088467705289e-08,-1.39315503896104,13.1826073844315,"stearoyl-CoA desaturase","6319"
"201195_s_at","SLC7A5",1.21593306818182,7.16257189189189,6.94100217065835,2.69739981306232e-10,2.60129764656231e-08,-1.21593306818182,13.1595002870491,"solute carrier family 7 member 5","8140"
"213943_at","TWIST1",1.1626873474026,5.98324954954955,6.91484149722865,3.06965052536616e-10,2.90151153510616e-08,-1.1626873474026,13.0345650495386,"twist family bHLH transcription factor 1","7291"
"207173_x_at","CDH11",1.4510292435065,9.00624315315315,6.91456608063196,3.07382826361294e-10,2.90151153510616e-08,-1.4510292435065,13.0332507135206,"cadherin 11","1009"
"212353_at","SULF1",1.77181831818182,8.9263045045045,6.89475805711716,3.38951763948853e-10,3.09028135396922e-08,-1.77181831818182,12.9387765969103,"sulfatase 1","23213"
"202311_s_at","COL1A1",1.74727709415585,7.18873189189189,6.89364736396054,3.4081393407347e-10,3.09028135396922e-08,-1.74727709415585,12.9334822776774,"collagen type I alpha 1 chain","1277"
"205479_s_at","PLAU",1.1922310487013,7.90085720720721,6.88184311042217,3.61240962516768e-10,3.21892541067346e-08,-1.1922310487013,12.8772357228915,"plasminogen activator, urokinase","5328"
"203854_at","CFI",1.42796497077922,7.2795763963964,6.85488322155994,4.12547317405792e-10,3.5899674179097e-08,-1.42796497077922,12.7489151143146,"complement factor I","3426"
"201872_s_at","ABCE1",1.09446840909091,9.36415333333333,6.83925547374297,4.45521585444011e-10,3.78165761287021e-08,-1.09446840909091,12.6746228078701,"ATP binding cassette subfamily E member 1","6059"
"209309_at","AZGP1",1.97911599675325,7.65302711711712,6.8382473488165,4.47736030413162e-10,3.78165761287021e-08,-1.97911599675325,12.6698326147433,"alpha-2-glycoprotein 1, zinc-binding","563"
"204051_s_at","SFRP4",1.41614907142857,7.30118558558559,6.83727274565422,4.49887188687611e-10,3.78193845373355e-08,-1.41614907142857,12.6652019692134,"secreted frizzled related protein 4","6424"
"200831_s_at","SCD",1.42135417207792,8.46923594594595,6.79663113517797,5.49298320166972e-10,4.44971588303986e-08,-1.42135417207792,12.4723351072291,"stearoyl-CoA desaturase","6319"
"218963_s_at","KRT23",2.39582224025974,7.36645765765766,6.77965750112195,5.96983380566607e-10,4.73273977540295e-08,-2.39582224025974,12.3919223264911,"keratin 23","25984"
"209835_x_at","CD44",1.09274428571429,9.43759441441441,6.74179388852403,7.18601972657919e-10,5.57780353480852e-08,-1.09274428571429,12.2128365189748,"CD44 molecule (IN blood group)","960"
"205421_at","SLC22A3",1.01528764285714,5.85401918918919,6.73663335221576,7.36970692313059e-10,5.67482663528803e-08,-1.01528764285714,12.1884600529933,"solute carrier family 22 member 3","6581"
"209396_s_at","CHI3L1",1.52144251298702,7.34105387387387,6.72870780736833,7.66088760665783e-10,5.82462775472752e-08,-1.52144251298702,12.1510375850589,"chitinase 3 like 1","1116"
"219911_s_at","SLCO4A1",1.09156337662338,7.69627954954955,6.72663742399927,7.7388072710804e-10,5.86385746863463e-08,-1.09156337662338,12.1412647198399,"solute carrier organic anion transporter family member 4A1","28231"
"205206_at","ANOS1",1.26580678896104,7.15016504504505,6.67023933613331,1.01904365548404e-09,7.39453925511986e-08,-1.26580678896104,11.8755259601527,"anosmin 1","3730"
"203083_at","THBS2",1.75821603571429,9.24023990990991,6.65456725304247,1.0998551221649e-09,7.82782761765602e-08,-1.75821603571429,11.8018469617667,"thrombospondin 2","7058"
"209875_s_at","SPP1",2.39884290909091,8.37603414414414,6.65451231991206,1.10014922814695e-09,7.82782761765602e-08,-2.39884290909091,11.8015888328834,"secreted phosphoprotein 1","6696"
"212160_at","XPOT",1.02875180519481,9.71177882882883,6.6539149915143,1.10335227900704e-09,7.82782761765602e-08,-1.02875180519481,11.7987820650583,"exportin for tRNA","11260"
"207850_at","CXCL3",1.56030063636364,8.11872306306306,6.64624960507601,1.14528321390092e-09,8.04283090221933e-08,-1.56030063636364,11.7627728081944,"C-X-C motif chemokine ligand 3","2921"
"212344_at","SULF1",1.67321673701299,8.31248810810811,6.64300787726677,1.16348608500637e-09,8.12507194849121e-08,-1.67321673701299,11.7475495741047,"sulfatase 1","23213"
"203417_at","MFAP2",1.21400553571429,6.55701126126126,6.63870070845059,1.18811437595851e-09,8.2197589916856e-08,-1.21400553571429,11.7273278391998,"microfibril associated protein 2","4237"
"221729_at","COL5A2",1.3541492987013,9.93397369369369,6.59875110216858,1.44252552839994e-09,9.59257946154192e-08,-1.3541492987013,11.5400329689188,"collagen type V alpha 2 chain","1290"
"202286_s_at","TACSTD2",2.34159842532468,7.25007513513513,6.57885846649785,1.58857352305076e-09,1.03475591733924e-07,-2.34159842532468,11.4469503902837,"tumor associated calcium signal transducer 2","4070"
"211981_at","COL4A1",1.58194263961039,8.06060936936937,6.57159593289044,1.64545467558397e-09,1.06557540139488e-07,-1.58194263961039,11.4129972083435,"collagen type IV alpha 1 chain","1282"
"208964_s_at","FADS1",1.04075539285714,7.78960378378378,6.50568044316365,2.26278907778993e-09,1.4041268046219e-07,-1.04075539285714,11.1055775222351,"fatty acid desaturase 1","3992"
"213338_at","TMEM158",1.16417357467533,7.89683063063063,6.49779514923583,2.35048494705185e-09,1.44793900718615e-07,-1.16417357467533,11.0688922639568,"transmembrane protein 158","25907"
"203797_at","VSNL1",1.40544026948052,7.82565585585586,6.43170455915991,3.23027667466178e-09,1.88873683678322e-07,-1.40544026948052,10.7621888063816,"visinin like 1","7447"
