"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Tumor_vs_Normal","B","GeneName","ENTREZID"
"207502_at","GUCA2B",-3.35192591558442,8.21874954954955,-12.0324016284431,6.84365568020887e-22,1.52456117588013e-17,3.35192591558442,39.007512201774,"guanylate cyclase activator 2B","2981"
"215118_s_at","IGH",-2.24686190584416,9.19698477477477,-11.7543522367183,2.97428175643291e-21,2.72058772295444e-17,2.24686190584416,37.5887350111509,"immunoglobulin heavy locus","3492"
"207003_at","GUCA1B",-4.01937160064936,10.7613785585586,-11.7149637956522,3.66376225203722e-21,2.72058772295444e-17,4.01937160064936,37.387339332328,"guanylate cyclase activator 1B","2979"
"210511_s_at","INHBA",2.34923354220779,7.24175054054054,10.8270284635587,4.09966062262888e-19,1.94028241379857e-15,-2.34923354220779,32.8259670827314,"inhibin subunit beta A","3624"
"206784_at","AQP8",-3.61974932467533,9.10713234234234,-10.8156905595182,4.35490060106516e-19,1.94028241379857e-15,3.61974932467533,32.7675215762652,"aquaporin 8","343"
"207504_at","CA7",-1.60224207142857,6.95309765765766,-10.5601903461671,1.69947102694107e-18,6.30985267786103e-15,1.60224207142857,31.4496529721144,"carbonic anhydrase 7","766"
"204697_s_at","CHGA",-2.79285498701299,9.64585135135135,-10.4258664855938,3.47782778893052e-18,1.10679385220008e-14,2.79285498701299,30.7563621918515,"chromogranin A","1113"
"209735_at","ABCG2",-2.59767638961039,7.87706837837838,-10.2866021927302,7.30727142065408e-18,2.03480106797389e-14,2.59767638961039,30.0374074781471,"ATP binding cassette subfamily G member 2 (JR blood group)","9429"
"205950_s_at","CA1",-4.00902787987013,10.8056686486486,-10.2393520716843,9.4004771473738e-18,2.32682699346718e-14,4.00902787987013,29.7934633561197,"carbonic anhydrase 1","759"
"206149_at","CHP2",-2.73780883116883,8.94481765765766,-10.2004901296711,1.15642882501246e-17,2.57617649348025e-14,2.73780883116883,29.5928269354461,"calcineurin like EF-hand protein 2","63928"
"206208_at","CA4",-2.98196188311689,8.90084225225225,-10.1252986439866,1.72653757789303e-17,3.49655251115664e-14,2.98196188311689,29.2046430407509,"carbonic anhydrase 4","762"
"206209_s_at","CA4",-3.40394830194805,9.08609765765766,-10.0837931300273,2.15398221565283e-17,3.99868848484151e-14,3.40394830194805,28.9903814797296,"carbonic anhydrase 4","762"
"205593_s_at","PDE9A",-2.29617015259741,9.71246036036036,-10.0107354951971,3.17913028654563e-17,5.4478065687213e-14,2.29617015259741,28.6132804297604,"phosphodiesterase 9A","5152"
"203256_at","CDH3",1.79287508116883,7.65086900900901,9.941650644954,4.59346810886576e-17,7.30919207580019e-14,-1.79287508116883,28.2567494464294,"cadherin 3","1001"
"209442_x_at","ANK3",-1.20821284415585,9.17322045045045,-9.82020329443116,8.76998318974438e-17,1.29570218008292e-13,1.20821284415585,27.6301951467626,"ankyrin 3","288"
"212594_at","PDCD4",-1.24516289935065,9.17423207207207,-9.80905629579794,9.30611612036034e-17,1.29570218008292e-13,1.24516289935065,27.5727031993382,"programmed cell death 4","27250"
"209791_at","PADI2",-2.50826326298702,10.1631926126126,-9.77241187435844,1.13102378577212e-16,1.48210687503797e-13,2.50826326298702,27.383727267548,"peptidyl arginine deiminase 2","11240"
"212593_s_at","PDCD4",-1.16584831168831,12.0153897297297,-9.69075963683755,1.74639065348942e-16,2.16135247709911e-13,1.16584831168831,26.9627786391401,"programmed cell death 4","27250"
"206422_at","GCG",-3.5537370909091,9.00427072072072,-9.45157947484862,6.2250320367949e-16,7.29868624650947e-13,3.5537370909091,25.7310502018942,"glucagon","2641"
"205861_at","SPIB",-1.3326897435065,7.03521765765766,-9.28800451573789,1.482341011819e-15,1.55946933632389e-12,1.3326897435065,24.8901545038543,"Spi-B transcription factor","6689"
"205097_at","SLC26A2",-2.61643291883117,11.1097212612613,-9.28550066638433,1.50214104990596e-15,1.55946933632389e-12,2.61643291883117,24.8772940437654,"solute carrier family 26 member 2","1836"
"220267_at","KRT24",-1.45844522402598,6.93254036036036,-9.28079391494741,1.54007834982832e-15,1.55946933632389e-12,1.45844522402598,24.8531198473387,"keratin 24","192666"
"205111_s_at","PLCE1",-1.50805773701299,8.53713135135135,-9.25917753514977,1.72696300393277e-15,1.67267629733089e-12,1.50805773701299,24.742113187776,"phospholipase C epsilon 1","51196"
"207122_x_at","SULT1A2",-1.26338183766234,8.23307108108108,-9.2278257231056,2.03892923158128e-15,1.89255110383067e-12,1.26338183766234,24.5811614866399,"sulfotransferase family 1A member 2","6799"
"206097_at","SLC67A1-AS",-1.34246337012987,8.23618990990991,-9.2022765374076,2.334279960614e-15,1.94658804262577e-12,1.34246337012987,24.4500433897301,"SLC67A1 antisense RNA","5003"
"205464_at","SCNN1B",-1.81974009415585,6.9993681981982,-9.20137165031086,2.34548900748554e-15,1.94658804262577e-12,1.81974009415585,24.445400268981,"sodium channel epithelial 1 subunit beta","6338"
"212601_at","ZZEF1",-1.32383872402598,9.38424594594595,-9.20026352147304,2.35928882483708e-15,1.94658804262577e-12,1.32383872402598,24.4397143527147,"zinc finger ZZ-type and EF-hand domain containing 1","23140"
"220723_s_at","CWH43",-1.97982425974026,8.06950828828829,-9.08037622170194,4.44832817413091e-15,3.53912166911122e-12,1.97982425974026,23.8250393909975,"cell wall biogenesis 43 C-terminal homolog","80157"
"220834_at","MS4A12",-3.48515460714286,10.8770618018018,-9.0136204552385,6.32929572528975e-15,4.69992402907599e-12,3.48515460714286,23.4832135612042,"membrane spanning 4-domains A12","54860"
"212814_at","AHCYL2",-1.79401941558442,10.6064163963964,-9.00475753607736,6.63251692574684e-15,4.76621224370523e-12,1.79401941558442,23.4378557029581,"adenosylhomocysteinase like 2","23382"
"212942_s_at","CEMIP",2.27372356168831,7.26671432432432,8.97288492806889,7.84766996083473e-15,5.16473598321771e-12,-2.27372356168831,23.2747912147098,"cell migration inducing hyaluronidase 1","57214"
"217996_at","PHLDA1",2.03197844805195,8.59390918918919,8.96792525892526,8.05576292848265e-15,5.16473598321771e-12,-2.03197844805195,23.2494240681205,"pleckstrin homology like domain family A member 1","22822"
"218507_at","HILPDA",1.53503208766234,7.99092369369369,8.96654943356868,8.11445703697177e-15,5.16473598321771e-12,-1.53503208766234,23.2423875010013,"hypoxia inducible lipid droplet associated","29923"
"208399_s_at","EDN3",-1.90265547077922,7.85035810810811,-8.90961583669933,1.09563528165267e-14,6.77985199149351e-12,1.90265547077922,22.9513389380914,"endothelin 3","1908"
"219909_at","MMP28",-1.16187609415585,7.19902954954955,-8.89052535672972,1.21161845499571e-14,7.29492549241604e-12,1.16187609415585,22.853807237692,"matrix metallopeptidase 28","79148"
"205125_at","PLCD1",-1.02974137012987,8.55100756756757,-8.82497999466,1.71119058836968e-14,1.00316296676609e-11,1.02974137012987,22.5191810179636,"phospholipase C delta 1","5333"
"203908_at","SLC4A4",-2.91972712012987,10.2648932432432,-8.81161069915003,1.83594335722728e-14,1.04384749058336e-11,2.91972712012987,22.4509741302581,"solute carrier family 4 member 4","8671"
"213921_at","SST",-2.16321266883117,7.98463891891892,-8.8059748289649,1.89121175843569e-14,1.04384749058336e-11,2.16321266883117,22.4222261646506,"somatostatin","6750"
"218145_at","TRIB3",1.43811793181818,7.00028279279279,8.80298882411337,1.92116295344605e-14,1.04384749058336e-11,-1.43811793181818,22.4069960539466,"tribbles pseudokinase 3","57761"
"219669_at","CD177",-2.82578674675325,8.55139567567568,-8.78359806598472,2.12750137636725e-14,1.12843686098412e-11,2.82578674675325,22.3081135411181,"CD177 molecule","57126"
"208300_at","PTPRH",-1.64120432142857,8.18663702702703,-8.76382867422838,2.36061204878004e-14,1.22296173513193e-11,1.64120432142857,22.2073363001505,"protein tyrosine phosphatase receptor type H","5794"
"220026_at","CLCA4",-3.7154157987013,10.6631607207207,-8.75554826503639,2.46565797239534e-14,1.24835142388752e-11,3.7154157987013,22.1651367257357,"chloride channel accessory 4","22802"
"219799_s_at","DHRS9",-2.5439424448052,10.3298864864865,-8.73014995089869,2.81780821562722e-14,1.38684928965818e-11,2.5439424448052,22.0357398951911,"dehydrogenase/reductase 9","10170"
