"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B","GeneName","ENTREZID"
"210125_s_at","BANF1",-3.12621444189703,9.56090248589394,-49.6722523644737,1.49889053738236e-87,8.19518401313803e-83,3.12621444189703,187.801593643392,"barrier to autointegration nuclear assembly factor 1","8815"
"210023_s_at","PCGF1",-2.71193257166151,7.13113745787121,-41.0232083981059,3.30572362102197e-77,9.0370219489688e-73,2.71193257166151,164.889247648116,"polycomb group ring finger 1","84759"
"225294_s_at","TRAPPC1",-2.98790111212869,8.63088507154546,-40.4651478482469,1.77820950767732e-76,2.55732261377201e-72,2.98790111212869,163.257727312483,"trafficking protein particle complex subunit 1","58485"
"200041_s_at","DDX39B",-2.15370664502316,10.5368949998561,-40.4483909543023,1.87092646640842e-76,2.55732261377201e-72,2.15370664502316,163.208418331574,"DExD-box helicase 39B","7919"
"221006_s_at","SNX27",-2.76446625450836,7.80886081035606,-34.8674359957735,1.22860062384623e-68,7.58807569381538e-65,2.76446625450836,145.667595307607,"sorting nexin 27","81609"
"229982_at","QSER1",-3.59462046531016,8.25247686907576,-34.862621436743,1.24906595782969e-68,7.58807569381538e-65,3.59462046531016,145.651431124079,"glutamine and serine rich 1","79832"
"228582_x_at","MALAT1",-3.53087865501415,7.47796596480303,-33.0507042185207,7.15639369533351e-66,3.9127582529236e-62,3.53087865501415,139.429669111452,"metastasis associated lung adenocarcinoma transcript 1","378938"
"213956_at","CEP350",-2.37142779371686,7.18650651174242,-32.0488217610137,2.69964206449886e-64,1.13540715289596e-60,2.37142779371686,135.866455206718,"centrosomal protein 350","9857"
"212291_at","HIPK1",-2.73228203916086,7.51764841784849,-31.9165816603682,4.38788240732245e-64,1.71362479014539e-60,2.73228203916086,135.389352630052,"homeodomain interacting protein kinase 1","204851"
"208611_s_at","SPTAN1",-3.12595134722522,8.74160878762121,-30.7956264953689,2.86999748240315e-62,9.80731952189953e-59,3.12595134722522,131.279695927485,"spectrin alpha, non-erythrocytic 1","6709"
"200707_at","PRKCSH",-3.28818317685713,8.10642352080303,-30.2237985764948,2.53204652805055e-61,8.14350846595081e-58,3.28818317685713,129.137132227726,"PRKCSH beta subunit of glucosidase II","5589"
"227404_s_at","EGR1",-5.90163500514541,10.4617230085303,-29.5522295952996,3.39814723535253e-60,9.77861579436313e-57,5.90163500514541,126.579875756558,"early growth response 1","1958"
"208973_at","ERI3",-2.22379067881724,6.37175372281061,-29.5346871426628,3.63877393865677e-60,9.94749825480295e-57,2.22379067881724,126.512473618208,"ERI1 exoribonuclease family member 3","79033"
"1555730_a_at","CFL1",-2.06712724554568,11.4400808544167,-28.738314555875,8.38861099519848e-59,1.99411872244555e-55,2.06712724554568,123.419726625723,"cofilin 1","1072"
"221830_at","RAP2A",-2.89917088462805,8.96508441036364,-28.3019854366292,4.80853068223951e-58,1.09544339604769e-54,2.89917088462805,121.697505001965,"RAP2A, member of RAS oncogene family","5911"
"200613_at","AP2M1",-1.91990957882625,9.95116742560606,-27.9649379888645,1.87742207414736e-57,3.94800199630797e-54,1.91990957882625,120.353466271366,"adaptor related protein complex 2 subunit mu 1","1173"
"206491_s_at","NAPA",-1.87871905288545,8.32841295278788,-27.7918436157049,3.79610057389938e-57,7.68710366214625e-54,1.87871905288545,119.658531021146,"NSF attachment protein alpha","8775"
"218748_s_at","EXOC5",-2.78820458299484,5.96932625691667,-27.2414311742486,3.63661265471905e-56,6.85626885850911e-53,2.78820458299484,117.427334113237,"exocyst complex component 5","10640"
"200709_at","FKBP1A",-2.05284418168854,10.1237123140303,-27.0019710928529,9.81719046519929e-56,1.7314673828541e-52,2.05284418168854,116.446354209652,"FKBP prolyl isomerase 1A","2280"
"201251_at","PKM",-3.83284067941183,9.72705872537121,-26.8936833708466,1.54133757789436e-55,2.63351975223044e-52,3.83284067941183,116.000670425712,"pyruvate kinase M1/2","5315"
"229905_at","RAP1GDS1",-2.54691278073358,6.9409246645,-26.0385398631017,5.68055402136315e-54,8.17327081889553e-51,2.54691278073358,112.435245790372,"Rap1 GTPase-GDP dissociation stimulator 1","5910"
"235577_at","ZNF652",-2.23743191379536,6.04889339355303,-25.5880153742526,3.9242515436353e-53,5.25316799168166e-50,2.23743191379536,110.523564440852,"zinc finger protein 652","22834"
"216915_s_at","PTPN12",-3.03961584244401,6.19613353506818,-25.5226267732564,5.20476363409572e-53,6.7754869450996e-50,3.03961584244401,110.244168965106,"protein tyrosine phosphatase non-receptor type 12","5782"
"234989_at","NEAT1",-2.91126457699741,11.9614953268864,-25.4476647197813,7.19877485904523e-53,9.15332593996042e-50,2.91126457699741,109.923259976684,"nuclear paraspeckle assembly transcript 1","283131"
"1554574_a_at","CYB5R3",-2.64377419615057,7.90353220123485,-25.4306539957181,7.74927265132575e-53,9.62935186843717e-50,2.64377419615057,109.850347372128,"cytochrome b5 reductase 3","1727"
"210649_s_at","ARID1A",-2.49018480461647,7.60644467600758,-25.2892235812842,1.43180810372367e-52,1.73964684602426e-49,2.49018480461647,109.242838643267,"AT-rich interaction domain 1A","8289"
"1553718_at","ZNF548",-1.52568506176962,7.15521134006818,-25.2399026290518,1.77458143251077e-52,2.06436680473461e-49,1.52568506176962,109.030435749389,"zinc finger protein 548","147694"
"235412_at","ARHGEF7",-3.42757386107464,5.98694512982576,-25.0047357870949,4.95665761646055e-52,5.53071949346899e-49,3.42757386107464,108.013774650549,"Rho guanine nucleotide exchange factor 7","8874"
"201367_s_at","ZFP36L2",-3.07212273745817,8.23322964450758,-24.3296881680693,9.7958377996842e-51,9.56406128031667e-48,3.07212273745817,105.05924090993,"ZFP36 ring finger protein like 2","678"
"242665_at","FMNL2",-2.94659913995494,6.26439076438636,-23.9918810100754,4.44796991638353e-50,4.19297853755637e-47,2.94659913995494,103.560331527373,"formin like 2","114793"
"238320_at","NEAT1",-4.89318212446974,8.96286023708333,-23.9499308229065,5.37245074297217e-50,4.97862278596616e-47,4.89318212446974,103.373231954767,"nuclear paraspeckle assembly transcript 1","283131"
"208751_at","NAPA",-1.77916667515829,7.71411850162121,-23.8669677335112,7.80957022835749e-50,7.11647087059077e-47,1.77916667515829,103.002586546401,"NSF attachment protein alpha","8775"
"200649_at","NUCB1",-2.02296990862934,8.67912265165909,-23.7893601687981,1.10895809079758e-49,9.77940058296088e-47,2.02296990862934,102.655112645114,"nucleobindin 1","4924"
"1554747_a_at","SEPTIN2",-2.28942370522779,8.34007246128788,-23.6895008864297,1.74310613739687e-49,1.512767112098e-46,2.28942370522779,102.206934835273,"septin 2","4735"
"1552516_a_at","HIPK1",-2.51112051656113,5.49310131436364,-23.6396686544557,2.18539100703822e-49,1.86697270796585e-46,2.51112051656113,101.982829379503,"homeodomain interacting protein kinase 1","204851"
"201378_s_at","UBAP2L",-1.99742412591248,8.15250926983333,-23.4874656146677,4.36791814077508e-49,3.61842309616481e-46,1.99742412591248,101.296466826588,"ubiquitin associated protein 2 like","9898"
"225827_at","AGO2",-2.1630332467915,8.16381719768939,-23.4764199641926,4.59353348090164e-49,3.74852900101936e-46,2.1630332467915,101.246546094157,"argonaute RISC catalytic component 2","27161"
"209852_x_at","PSME3",-2.08960536479794,8.33956571424242,-23.4284884661469,5.71654210676328e-49,4.52973825633742e-46,2.08960536479794,101.029747060572,"proteasome activator subunit 3","10197"
"209675_s_at","HNRNPUL1",-1.65465211824967,7.38880937524242,-23.0242088375564,3.6565247136596e-48,2.73863683177177e-45,1.65465211824967,99.1899193137956,"heterogeneous nuclear ribonucleoprotein U like 1","11100"
"1558733_at","ZBTB38",-2.26821269993178,6.87582544158333,-22.6784145660754,1.81644523050189e-47,1.30676503918014e-44,2.26821269993178,97.6002202206691,"zinc finger and BTB domain containing 38","253461"
"1567628_at","CD74",-3.78124614936163,8.67535001743939,-22.5822862796631,2.84361496311741e-47,2.01915127413564e-44,3.78124614936163,97.1556532925312,"CD74 molecule","972"
"218075_at","AAAS",-1.11555946817889,7.40961861576515,-22.4119508117915,6.30935891399047e-47,4.42261793105678e-44,1.11555946817889,96.3650634479087,"aladin WD repeat nucleoporin","8086"
"1559038_at","SEPTIN2",-1.8791032389009,7.21474219268182,-22.3771313810943,7.42894118448941e-47,5.14148556027795e-44,1.8791032389009,96.2030065054753,"septin 2","4735"
"230566_at","MORC2-AS1",-1.56843404683783,6.84735368381061,-22.188284524257,1.80639900714459e-46,1.23456082144538e-43,1.56843404683783,95.3214231191123,"MORC2 antisense RNA 1","150291"
"207622_s_at","ABCF2-H2BK1",-1.76876955991119,7.09871870879545,-22.1198590861059,2.49519117665903e-46,1.68425404424485e-43,1.76876955991119,95.0008897457225,"ABCF2-H2BK1 readthrough","114483834"
"1558747_at","SMCHD1",-2.84546645550064,7.28330425587879,-22.045850597734,3.54097720551931e-46,2.33256540616588e-43,2.84546645550064,94.6535390139917,"structural maintenance of chromosomes flexible hinge domain containing 1","23347"
"223585_x_at","KBTBD2",-1.92439619989961,7.07655573819697,-22.0140798376012,4.11597699938779e-46,2.6790600290658e-43,1.92439619989961,94.5042145183195,"kelch repeat and BTB domain containing 2","25948"
"214007_s_at","TWF1",-2.7046812247117,7.58919231653788,-21.9947675063566,4.51048538744565e-46,2.90130339480695e-43,2.7046812247117,94.4133831396553,"twinfilin actin binding protein 1","5756"
"211136_s_at","CLPTM1",-1.92397907116216,7.92876261199242,-21.8293165429627,9.89898715987905e-46,6.01363469962652e-43,1.92397907116216,93.6332888974344,"CLPTM1 regulator of GABA type A receptor forward trafficking","1209"
"1563321_s_at","MLLT10",-2.21734797366023,6.33252766771212,-21.8211893045222,1.0289571513375e-45,6.18222332410746e-43,2.21734797366023,93.5948800899103,"MLLT10 histone lysine methyltransferase DOT1L cofactor","8028"
"206917_at","GNA13",-2.40289359477348,5.44591902718939,-21.7665939606467,1.3347155279917e-45,7.69384799992768e-43,2.40289359477348,93.3366491449395,"G protein subunit alpha 13","10672"
"215050_x_at","MAPKAPK2",-1.22106898648133,5.99423142312121,-21.681931544958,1.99951856425198e-45,1.09323677500477e-42,1.22106898648133,92.9354565323767,"MAPK activated protein kinase 2","9261"
"1559397_s_at","PRR14",-1.78709555696525,6.29966465098485,-21.4629481040158,5.71158623110952e-45,2.94604695458409e-42,1.78709555696525,91.893530717928,"proline rich 14","78994"
"202734_at","TRIP10",-2.04198412306949,7.25427809962879,-21.4595668418478,5.80517685863154e-45,2.96633686678205e-42,2.04198412306949,91.877394824655,"thyroid hormone receptor interactor 10","9322"
"200787_s_at","PEA15",-2.53128453722522,8.56304658769697,-21.4368331458665,6.47575446746561e-45,3.27835069915447e-42,2.53128453722522,91.7688684043709,"proliferation and apoptosis adaptor protein 15","8682"
"203294_s_at","LMAN1",-2.40145161408493,6.17481259175758,-21.3008222055115,1.24712090270571e-44,5.98125748731883e-42,2.40145161408493,91.1182021531922,"lectin, mannose binding 1","3998"
"203085_s_at","TGFB1",-3.29355411992277,7.45750613693939,-21.2841021016049,1.3519685458411e-44,6.42772871685756e-42,3.29355411992277,91.0380516153882,"transforming growth factor beta 1","7040"
"227621_at","WTAP",-2.1802008245238,8.90924568215909,-21.2672745593394,1.46644314029836e-44,6.85280159793271e-42,2.1802008245238,90.9573500394075,"WT1 associated protein","9589"
"1558306_at","THADA",-1.47991692421879,4.98387406331818,-21.261786751596,1.50584464692163e-44,6.97729288732541e-42,1.47991692421879,90.9310237811506,"THADA armadillo repeat containing","63892"
"226880_at","NUCKS1",-2.26857986116087,10.5894060512273,-20.9489038669305,6.87078391512382e-44,3.02951702064028e-41,2.26857986116087,89.423689369028,"nuclear casein kinase and cyclin dependent kinase substrate 1","64710"
"1554241_at","COCH",-2.26001389966795,8.63353512895455,-20.8950644909625,8.93266286596862e-44,3.90714673757468e-41,2.26001389966795,89.1630513914737,"cochlin","1690"
"227511_at","SAMD4B",-1.97002136136293,6.21760452600758,-20.8730261837483,9.94673021396963e-44,4.31617043213325e-41,1.97002136136293,89.0562561869105,"sterile alpha motif domain containing 4B","55095"
"210317_s_at","YWHAE",-2.84062639323423,7.99731337861364,-20.5417888007241,5.04399667936478e-43,2.05806357047962e-40,2.84062639323423,87.4436115444171,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon","7531"
"221759_at","G6PC3",-1.6514784784453,7.06010443806061,-20.4809926910316,6.80521658615084e-43,2.71587749523939e-40,1.6514784784453,87.1460926823053,"glucose-6-phosphatase catalytic subunit 3","92579"
"215910_s_at","FNDC3A",-1.99953449958043,5.90849758404545,-20.4696138307809,7.19794269054622e-43,2.85179359859141e-40,1.99953449958043,87.090355005212,"fibronectin type III domain containing 3A","22862"
"1559954_s_at","DDX42",-2.262427750009,7.21206819517424,-20.2216965919242,2.45389312484539e-42,9.06531125681903e-40,2.262427750009,85.8718358318698,"DEAD-box helicase 42","11325"
"200778_s_at","SEPTIN2",-1.53954267513899,9.83198267546212,-19.7757121618447,2.27271347897186e-41,7.76628809142415e-39,1.53954267513899,83.6599004559228,"septin 2","4735"
"230669_at","RASA2",-1.88782931400257,7.85647011718182,-19.7653842925146,2.39364777293215e-41,8.12873863261275e-39,1.88782931400257,83.6083743297002,"RAS p21 protein activator 2","5922"
"200918_s_at","SRPRA",-1.37453530329215,9.52700657807576,-19.7458319794351,2.6405953774661e-41,8.9120093989481e-39,1.37453530329215,83.5107895125135,"SRP receptor subunit alpha","6734"
