"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"3802396","AQP4",2.4950138,3.81099498888889,9.34226483565008,2.98968060097269e-15,8.34411497224689e-13,-2.4950138,24.269194600352
"2662623","GHRL",2.4601068,5.55221011111111,8.92764293769815,2.38873942869981e-14,4.4938926124027e-12,-2.4601068,22.2397315844777
"2443952","MYOC",1.94041242222222,4.35954134444444,8.84504693043237,3.61078670834703e-14,6.46154684857126e-12,-1.94041242222222,21.8362903088656
"2455933","ESRRG",2.122096,4.89503197777778,8.74045221306793,6.08974366238021e-14,1.05544368309174e-11,-2.122096,21.3259304813269
"3023835","CPA2",3.53757144444444,5.67159307777778,8.52227681287062,1.80776805006139e-13,2.61781464144088e-11,-3.53757144444444,20.2636248209857
"2781387","AGXT2L1",1.59376651111111,2.73337123333333,8.24901596867708,7.02704391905992e-13,8.9925734710714e-11,-1.59376651111111,18.9384064917854
"3919101","KCNE2",2.92755906666666,6.18695362222222,8.16385141805184,1.07136729816489e-12,1.29570690109382e-10,-2.92755906666666,18.5268210687695
"3859832","ATP4A",3.41205362222222,7.45448278888889,8.15339977862997,1.12822414820598e-12,1.35701320907988e-10,-3.41205362222222,18.4763619602944
"3215560","FBP2",1.89186026666666,5.47966988888889,8.07455269732433,1.66591019056658e-12,1.91980885887754e-10,-1.89186026666666,18.0960810593735
"3374874","GIF",4.1461177111111,7.00938718888889,7.99443066556593,2.47368363207399e-12,2.70886818037714e-10,-4.1461177111111,17.7103726524966
"3866785","SULT2A1",1.72802433333333,3.9806771,7.73218134805918,8.97376174554402e-12,8.09514220414629e-10,-1.72802433333333,16.4535316904602
"3824623","SLC5A5",2.29492017777777,6.89425651111111,7.55033995772743,2.18099358140179e-11,1.76492094559687e-09,-2.29492017777777,15.5877434360909
"2790626","FGA",2.04685586666666,4.15670048888889,7.48283991222721,3.02881788950699e-11,2.32290280717555e-09,-2.04685586666666,15.2676797935607
"3526655","ATP4B",3.48906062222222,8.04364991111111,7.459721009112,3.38882101794232e-11,2.53712038863702e-09,-3.48906062222222,15.158230643912
"2818035","CKMT2",1.34134893333333,5.16215477777778,7.3318749472313,6.29629333478601e-11,4.35810416955896e-09,-1.34134893333333,14.554648757265
"3106559","SLC26A7",1.31075197777778,2.72059894444444,7.24357083268003,9.64268692012293e-11,6.32576721329224e-09,-1.31075197777778,14.1394726603345
"3347118","GRIA4",1.10419313333333,2.78054538888889,7.21495194915356,1.10678127099425e-10,7.06195255774747e-09,-1.10419313333333,14.005231918113
"3633699","NRG4",1.49259833333333,3.96025932222222,7.19063820077886,1.24413877140176e-10,7.75771628819379e-09,-1.49259833333333,13.8913094527491
"2906591","APOBEC2",1.24136071111111,4.66935811111111,7.07086642959478,2.21023556601801e-10,1.25385296504181e-08,-1.24136071111111,13.3318370057295
"3039671","SOSTDC1",2.21805371111111,5.83634336666667,7.04133007641909,2.54563912780474e-10,1.41924764281709e-08,-2.21805371111111,13.1943210175228
"2779302","ADH7",1.99785817777778,4.11312548888889,7.00895937352182,2.97136213664229e-10,1.63098882767166e-08,-1.99785817777778,13.0438209927388
"2772805","GC",1.70635142222222,3.92525406666667,6.90312234332036,4.9189948111699e-10,2.55358478275143e-08,-1.70635142222222,12.5533489744602
"2726542","CWH43",1.36110757777778,3.1577563,6.8899629264208,5.2362958903622e-10,2.68662258374737e-08,-1.36110757777778,12.4925400973704
"3683584","PDILT",1.53718695555555,3.96964701111111,6.87643099944219,5.58371842553771e-10,2.83187157291499e-08,-1.53718695555555,12.4300510471167
"3549092","CHGA",1.64232991111111,5.80727566666667,6.8743727836768,5.63852490646994e-10,2.84681885581338e-08,-1.64232991111111,12.4205500926173
"2764478","CCKAR",1.86359673333333,5.89017683333333,6.79558755067956,8.18911870305564e-10,3.89310349401637e-08,-1.86359673333333,12.0576090631369
"3662150","MT1M",2.26308435555555,7.70591237777778,6.66848660488961,1.49075454877867e-09,6.35021207898377e-08,-2.26308435555555,11.4752342643875
"3570141",NA,1.07188366666667,6.45777305555556,6.64941642334668,1.63041869462398e-09,6.86453686469233e-08,-1.07188366666667,11.3882014835335
"3652902","SCNN1B",1.19661004444444,5.52563995555556,6.61794162371497,1.88976310800632e-09,7.760368613867e-08,-1.19661004444444,11.2447594480746
"3933550","TFF2",2.69163626666666,9.20044137777778,6.60339987264222,2.02297571168973e-09,8.23063186506517e-08,-2.69163626666666,11.1785737057391
"2487063","GKN1",3.60791882222222,9.0840443,6.50608258000689,3.18698787926191e-09,1.20949490611087e-07,-3.60791882222222,10.737074495341
"3652867","SCNN1G",1.58068104444444,4.64931656666667,6.46028508398003,3.94374510914954e-09,1.43480617516513e-07,-1.58068104444444,10.5301882339482
"3259087","C10orf129",1.17618733333333,3.49095337777778,6.43858663219017,4.36179186830760e-09,1.56109594818404e-07,-1.17618733333333,10.4323694056801
"3733238","KCNJ16",1.68732355555555,4.41956564444444,6.40178114758245,5.17322396280238e-09,1.78632936542507e-07,-1.68732355555555,10.2667480589409
"3369366","SLC1A2",1.10612728888889,3.67260033333333,6.39674884567777,5.29517143732243e-09,1.82112528917038e-07,-1.10612728888889,10.2441329035346
"3332780","PGA4",3.76538668888889,7.83834385555556,6.36415962697199,6.15654658338307e-09,2.04700523937832e-07,-3.76538668888889,10.0978520621092
"3642765","PDIA2",1.67466571111111,6.47100901111111,6.28448790416926,8.88850859619316e-09,2.8395495313615e-07,-1.67466571111111,9.74153341297059
"2376548","MFSD4",1.65650851111111,6.42596856666667,6.27190812236202,9.41762787682469e-09,2.99554056642758e-07,-1.65650851111111,9.68544374709575
"2452754","SLC26A9",1.36067793333333,5.41223412222222,6.24961060488267,1.04329109399329e-08,3.25728798154417e-07,-1.36067793333333,9.58614208505846
"2462329","ERO1LB",1.28755662222222,4.78794068888889,6.197617219783,1.32387241736665e-08,3.94313339359369e-07,-1.28755662222222,9.35517640876596
"4000485","ASB11",1.43331852888889,2.06602188222222,6.15041899326689,1.64229277512207e-08,4.73147987869266e-07,-1.43331852888889,9.14623388059965
"2557956","GKN2",3.13982137777778,9.63826866666667,6.06626894815083,2.40781062520613e-08,6.50286130937573e-07,-3.13982137777778,8.77545536392673
"3256914","LIPF",3.09826866666666,9.93416882222222,6.06158790203523,2.45945342686441e-08,6.6260745873577e-07,-3.09826866666666,8.7548968141129
"3101629","ADHFE1",1.08399695555555,5.15633501111111,5.99148180491173,3.37686874384395e-08,8.6428206884592e-07,-1.08399695555555,8.44786074080289
"3289189","ASAH2",1.50565433333333,4.4780509,5.90519605929689,4.97779615051173e-08,1.17940011914869e-06,-1.50565433333333,8.07222610019733
"2351763","CHIA",2.37387153333333,5.88715378888889,5.80691638034334,7.72147086022105e-08,1.70811351863644e-06,-2.37387153333333,7.64751624844414
"2443120","DPT",1.57784217777778,6.92972328888889,5.78017844761622,8.69618519473297e-08,1.88397374331956e-06,-1.57784217777778,7.53256355480625
"3333417","SCGB2A1",1.04480124444444,4.73811024444444,5.77498720240461,8.89898370628943e-08,1.92034833685428e-06,-1.04480124444444,7.51027507388757
"3521083","SOX21",1.05599935555556,6.16568118888889,5.7701194591567,9.09336283039914e-08,1.95462899667886e-06,-1.05599935555556,7.48938441541371
"3119200","PSCA",2.08322948888889,7.75516267777778,5.73081168316207,1.08236354343057e-07,2.26247900801996e-06,-2.08322948888889,7.3210057435213
