"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"3490655","CKAP2",-2.03267771111111,5.55406916666667,-14.8716463230502,5.68158099968717e-27,1.25057279384114e-22,2.03267771111111,50.5377719441739
"3776139","NDC80",-1.86960875555555,2.94850506666667,-13.6315920496457,1.90763413522303e-24,2.09944674751971e-20,1.86960875555555,44.9015537203508
"3599811","KIF23",-1.96830828888889,4.51994583333333,-13.3744474242837,6.51324728100246e-24,4.77876953007151e-20,1.96830828888889,43.7092821060971
"3129149","PBK",-2.37733366666666,4.25943967777778,-12.8590016590064,7.79703042295271e-23,3.47247911455819e-19,2.37733366666666,41.2967602599207
"3901361","CST1",-3.76589086666666,5.60667825555556,-12.8566048751591,7.88805396065193e-23,3.47247911455819e-19,3.76589086666666,41.2854742786359
"3728964","PRR11",-1.93838551111111,4.12066173333333,-12.480350397764,4.91198511529715e-22,1.80196173954676e-18,1.93838551111111,39.5063495081635
"3901387","CST2",-2.35945564444444,5.98966766666667,-12.1668564507087,2.27713074258908e-21,6.30799986451001e-18,2.35945564444444,38.013238571543
"3354799","CHEK1",-1.83436128888889,4.57973886666667,-12.1654701855503,2.29267179665077e-21,6.30799986451001e-18,1.83436128888889,38.0066154509756
"2364438","NUF2",-1.94702617777778,3.74269908888889,-12.0887211250667,3.34189552490563e-21,8.17316248874419e-18,1.94702617777778,37.6396596362403
"4052881","FAM72D",-1.70591031111111,4.20497222222222,-12.0485240955798,4.07183335697257e-21,8.96251240203232e-18,1.70591031111111,37.4472554234411
"2652675","ECT2",-2.00122024444444,4.96951623333333,-12.0291282641179,4.47929340658495e-21,8.96306610657648e-18,2.00122024444444,37.3543651304042
"3565571","WDHD1",-1.69694177777777,4.0644046,-11.7281447525793,1.97527292336915e-20,3.62314435968986e-17,1.69694177777777,35.9087426171058
"3756193","TOP2A",-2.51302797777777,5.00754505555556,-11.4976404651354,6.18222300716268e-20,1.04674546623583e-16,2.51302797777777,34.7966573517487
"2379863","CENPF",-1.8534672,3.96445471111111,-11.4731313445479,6.98115646039845e-20,1.0975873917845e-16,1.8534672,34.6781740635536
"3565663","DLGAP5",-2.0836588,3.55900724444444,-11.3783719603511,1.1172865701728e-19,1.63950631307157e-16,2.0836588,34.2196743035244
"3639031","PRC1",-1.92391517777778,5.32681976666667,-11.2999790116918,1.64936937067148e-19,2.26901682611562e-16,1.92391517777778,33.8398875971405
"3775842","TYMS",-1.79353573333333,5.95145137777778,-11.2291696567915,2.34558273173437e-19,2.91771085161856e-16,1.79353573333333,33.4964833091023
"3980560","KIF4A",-1.78540622222222,4.67445775555556,-11.2253608905471,2.39045523191827e-19,2.91771085161856e-16,1.78540622222222,33.4780025493086
"2798915","TRIP13",-1.77631622222222,4.82013044444444,-11.2140910948508,2.52833277560887e-19,2.91771085161856e-16,1.77631622222222,33.4233141225154
"2813414","CCNB1",-2.12909722222222,6.57174723333333,-11.2002298816908,2.70889592449399e-19,2.91771085161856e-16,2.12909722222222,33.3560391706797
"3595979","CCNB2",-2.13667855555555,3.95378432222222,-11.1947571793183,2.78369578319884e-19,2.91771085161856e-16,2.13667855555555,33.3294741806146
"3590388","NUSAP1",-1.84665015555555,4.50990916666667,-11.1726999322003,3.10675562732827e-19,3.10830900514194e-16,1.84665015555555,33.2223869163621
"3881443","TPX2",-2.18342735555555,5.51408561111111,-11.1199020718584,4.0411031516425e-19,3.86733571612187e-16,2.18342735555555,32.9659304490281
"3258910","HELLS",-1.59012377777778,3.18622604444444,-11.0845002761673,4.82066002903518e-19,4.42114782912889e-16,1.59012377777778,32.7938760063581
"3258444","CEP55",-1.8374888,3.81797768888889,-11.0498992411323,5.72808462214517e-19,4.87155481673674e-16,1.8374888,32.6256402921923
