"GeneSymbol","logFC_COAD","PValue_COAD","FDR_COAD","logFC_READ","PValue_READ","FDR_READ"
"",4.14346634474196,1.7970273017059e-19,1.18064236463222e-18,2.03213442505393,0.000579222446009367,0.00168019512057848
"AADAC",-2.93270007184737,1.53276687950085e-30,2.20216443403007e-29,4.6118382795052,0.00099936593211101,0.00271193774520918
"ABCA6",-2.0665810168869,6.56989197066849e-24,6.06766619713144e-23,-2.92640474082524,2.79710037054883e-14,7.22288699432358e-13
"ABCA8",-4.385759085781,1.24736094258449e-89,2.78330884892247e-87,-4.59952300205988,1.50420006278386e-31,3.20913920537494e-29
"ABCA9",-2.54863228991916,1.13921426379964e-42,3.32099332321205e-41,-3.76208002801542,1.15341190763618e-29,1.87911770879527e-27
"ABCB6",2.65792859160448,7.3684583766377e-21,5.41549700187448e-20,3.37369395142579,6.62613977661815e-08,5.45031760485512e-07
"ABCC13",-3.26938059123135,4.62353658940198e-77,5.76315864254148e-75,-3.19627651927782,1.83299886381133e-21,1.15666100839306e-19
"ABCG2",-4.82747402987366,9.76655086294998e-120,7.35502667903991e-117,-3.90463582928165,6.04896755941929e-26,6.23008894438811e-24
"ABI3BP",-2.90999952682496,9.12407361122626e-50,3.83508154533264e-48,-3.84309387037342,1.17897173145518e-28,1.70389938704905e-26
"ACAN",3.09173521542391,6.45997092843597e-33,1.09425974283554e-31,3.99879310138093,9.51322602342375e-16,2.95983547857252e-14
"ACBD7",2.08444824500831,3.17731362988792e-23,2.79585036740965e-22,2.02481559747116,8.27821934524721e-06,4.05227994772399e-05
"ACKR1",-2.1846756673065,3.30916476753134e-21,2.5004115388111e-20,-2.27302465627804,1.83953762918365e-09,2.13098602796381e-08
"ACSL6",4.44055231242284,2.95381947138837e-18,1.76603814508347e-17,4.31305987125736,2.19650186433014e-06,1.25721845770235e-05
"ACTBP2",2.00113544726391,2.67821230380477e-08,6.68591287002313e-08,2.12746953752694,0.00334121123432523,0.00780472452168176
"ACTG1P20",2.75956325164473,2.85077863420957e-10,8.55044358358842e-10,3.41756241252376,0.000353112604113659,0.00109749063099565
"ACTG2",-4.17509806767361,1.32570829631227e-57,7.93405687004901e-56,-4.10997832159956,2.20577524357653e-19,1.0950054886464e-17
"ACY1",2.27004799169814,1.3646923682127e-13,5.57789458685579e-13,3.22678937994238,3.82869352978805e-06,2.05062811558074e-05
"ADAM12",4.28961950381421,3.83798234456169e-24,3.61290067164625e-23,3.50070062926019,2.25590889807878e-06,1.28752048925063e-05
"ADAM33",-2.16728766125315,2.609348690516e-31,3.92031323627482e-30,-2.12910990734078,5.99286974468836e-09,6.1511007270653e-08
"ADAMDEC1",-3.55852587934852,1.13240956607305e-81,1.764411249759e-79,-3.78492837472214,5.30858049898891e-26,5.5311087861849e-24
"ADAMTS12",3.51929806482159,4.04233751869155e-33,6.93180344524014e-32,3.02890881341967,7.46445075420958e-08,6.05570040589362e-07
"ADAMTS2",2.40413397675544,8.73640769842108e-19,5.45429474063083e-18,2.50642459312354,2.82369318341555e-06,1.56958453908158e-05
"ADAMTS9-AS1",-2.76457251051384,1.96650501104493e-30,2.80304507646893e-29,-4.83412061967648,1.59424833815542e-48,2.04075174772024e-45
"ADAMTSL1",-2.02489946410058,8.50488737779391e-34,1.53482043850654e-32,-2.27143115810614,1.71124648648892e-15,5.2066635457331e-14
"ADAMTSL3",-3.05301521500496,1.02070188302846e-53,5.09617840714265e-52,-3.80736033605089,2.05618660065186e-24,1.77158269568664e-22
"ADCY5",-2.86606949474471,1.77614110789725e-49,7.3292178959212e-48,-2.90593388830919,1.11307515732124e-16,3.99747893674428e-15
"ADGRL3",-2.35000601712367,5.48845238714783e-43,1.62620144992311e-41,-2.57892553768974,8.70076836581674e-19,3.9878892553402e-17
"ADH1B",-4.32864901949495,1.84871637314309e-54,9.60163785292763e-53,-3.40369734413638,8.69616954016237e-07,5.50296802010063e-06
"ADH1C",-4.02042972634429,8.78129791158462e-55,4.69565616727753e-53,-3.29227973286954,1.48109758163649e-10,2.1183359745018e-09
"ADTRP",-3.07386767223292,1.83151171774386e-39,4.54084263189334e-38,-2.3375543183097,3.79138626708404e-07,2.61933050471908e-06
"AFAP1-AS1",5.70245180873467,1.84629645822785e-12,6.82272790554287e-12,2.72047287321608,0.00480522894095703,0.0107401481480283
"AFF3",-2.83296477588595,1.70357286986742e-54,8.92474668115472e-53,-3.71972688571893,6.75406400120031e-40,2.95218490159782e-37
"AGAP2-AS1",2.22673135272768,5.33655196351103e-15,2.4668245572506e-14,2.12841237015113,6.240081879268e-05,0.000241165640194871
"AGT",2.00098806481355,1.31129506988232e-15,6.34038177984299e-15,3.2849755852041,1.21927148428539e-06,7.44482598632998e-06
"AGTR1",-3.52172655656413,4.13594302911266e-63,3.08896835984224e-61,-3.34387244874504,3.57336282485771e-12,6.65678120418659e-11
"AHCYL2",-2.61831002226765,2.99062590949485e-75,3.5328478881183e-73,-2.60171983634432,2.43939133495796e-21,1.52321714682166e-19
"AJUBA",3.0654493741943,1.80892031827987e-79,2.51495583327618e-77,2.83837578370414,1.20436867501577e-18,5.43664761333943e-17
"AKAP6",-2.01869792222145,3.09701794571425e-35,5.9995179368531e-34,-2.75794176823918,4.23122320993119e-23,3.19948317068257e-21
"AKR1B10",-3.02729603872293,2.83019544302244e-36,5.82607658737899e-35,-2.89183927720096,9.69887789555439e-12,1.68243357460021e-10
"AKR1C4",5.29362280349189,7.1960256977798e-17,3.86025467564258e-16,7.65733077037064,2.68607271382765e-05,0.00011527085513531
"ALDH3B2",3.56097720975952,1.32270613062877e-16,6.93145566975482e-16,4.66364690309175,7.20513125948555e-07,4.63804444329169e-06
"ALDOAP2",3.25683448010829,5.36527408301473e-09,1.42480111337655e-08,3.45790937934729,0.00111835996822422,0.00299404376912851
"ALDOB",-3.52434021564285,1.67403201375807e-35,3.29591008896116e-34,4.38116642581024,0.000135878145788798,0.000477558786170044
"ALG1L3P",2.39715562775656,6.11883676588554e-14,2.59605295085951e-13,3.75520768154531,9.82601724638989e-07,6.13989034423128e-06
"ALKAL1",3.64755898258393,2.44257331333618e-24,2.32720453691292e-23,3.48551515695961,3.69357737253285e-07,2.56064216994821e-06
"ALPI",-4.50021147628043,1.34380288582154e-86,2.50390653178748e-84,-3.62580733479829,4.19295729723575e-18,1.76804676997087e-16
"AMH",4.20687581546211,2.28319892902148e-17,1.27523292469513e-16,4.08718781842103,2.90886108305509e-05,0.000123588666357113
"AMPD1",-4.04536527416472,1.86335421298639e-135,2.806522003793e-132,-3.66178020144222,1.3468636984698e-31,2.90808967955149e-29
"ANGPTL1",-3.61657361577919,7.16467468291824e-47,2.59507675789708e-45,-5.3345382969122,3.47312534498069e-42,2.07472931024663e-39
"ANK2",-2.96438600471528,6.27813715591837e-54,3.17846081109436e-52,-3.87875238627986,1.33309455878761e-30,2.51477764084556e-28
"ANKRD13B",2.41978971842941,5.76526687135198e-34,1.04725058726448e-32,2.4181588276799,1.80702468230836e-10,2.55518795371726e-09
"ANO5",-3.04217559076579,8.19537894864627e-46,2.82139579272062e-44,-3.27904936463998,2.82116894354541e-16,9.55730976130007e-15
"ANOS1",3.15896438016521,3.29008162089475e-23,2.88664734058503e-22,2.17518948066156,0.000320356418659902,0.00100880467032228
"ANPEP",-3.70017278936106,3.63533460971967e-37,7.90674340987644e-36,-2.97184725033767,3.57895041339648e-14,9.05909185854213e-13
"AOC3",-2.69506432508536,1.95601134966431e-42,5.63842888896855e-41,-2.9462587219871,1.14876861315252e-16,4.11741646326128e-15
"APCDD1",2.49663759365508,4.56905381448479e-11,1.48127495323763e-10,2.49102796702622,0.000499369375573183,0.00148067481463385
"APLN",3.21389508751848,8.59736912386631e-35,1.63052308021784e-33,3.52330001563973,5.86286633231956e-11,9.00329284845749e-10
"AQP8",-6.96409052741699,3.12208251162972e-95,8.06121704502792e-93,-5.50806420809601,1.92931850259442e-23,1.47757764465789e-21
"AQP9",2.5277496249272,4.19179908630003e-10,1.23855773558586e-09,2.5660760275042,0.00286276620416856,0.00682319898189982
"ARHGAP20",-2.4899669580118,2.93700798059762e-54,1.51234992140517e-52,-2.51933131698643,1.87167842922864e-16,6.46288037190876e-15
"ARHGEF25",-2.16163919353563,3.0051314299163e-43,8.99250752720317e-42,-2.94459615734414,1.69834373014615e-25,1.62759454481012e-23
"ARID3A",2.12750628483455,3.92271237601241e-20,2.72437715204646e-19,2.87848603390252,2.34798425027387e-09,2.65645364578018e-08
"ARL14",-2.28190681518748,5.54908918110509e-50,2.3710221716145e-48,-3.01441480527913,1.62568766976028e-27,2.02319088401208e-25
"ARL4D",-2.18772571918636,1.13166579698826e-44,3.67872798826722e-43,-2.619846528403,8.88081542274971e-17,3.22825746837926e-15
"ASB2",-2.93969091613344,4.21736271590614e-60,2.72230763311741e-58,-3.25053077142042,1.14693030761261e-22,8.45849302169777e-21
"ASB4",2.21249816142966,8.12159100486991e-08,1.94836256732172e-07,2.53537803561636,0.0080827962107781,0.0169239152813827
"ASCL2",3.93621629544261,7.45484667171382e-28,8.88193136088039e-27,4.60760117962647,1.0780511986191e-12,2.15381889971604e-11
"ASCL5",4.08926815753791,1.19752286088274e-25,1.24893411353691e-24,3.95839972406665,8.33928765553948e-08,6.70172081053466e-07
"ASGR1",2.56591420758046,1.21099092903411e-16,6.37374783091509e-16,3.4432806504612,5.5633094300194e-05,0.000218409767611377
"ASPA",-3.78033101228672,1.99703737500586e-128,1.89970807978189e-125,-4.20330113976229,9.17002970972207e-51,1.49396456752663e-47
"ASPHD1",2.50014734476358,5.68067393027789e-22,4.52900311494674e-21,2.30555438382167,6.57565755542717e-07,4.27895276146733e-06
"ATAD3C",2.00760673344345,2.94139457267249e-11,9.72074702989260e-11,2.51641568942907,0.000150910172857924,0.000524120389105981
"ATG9B",3.57901898207875,3.78227763118711e-33,6.51056056248341e-32,3.76492405708812,3.09592265905104e-12,5.80963664637212e-11
"ATP11A",2.16404130524981,1.53040914041755e-35,3.01642473325047e-34,2.50025678885408,3.06589358768939e-11,4.89259830676595e-10
"ATP13A4",-2.4765838290538,1.19873217184942e-35,2.3730432939766e-34,-2.4506201991722,2.87438773756861e-09,3.18761773793113e-08
"ATP1A2",-4.72160037825044,4.7011246958639e-80,6.79745022024352e-78,-5.71054616737257,4.04131136918906e-41,2.13012767785992e-38
"ATP1B2",-2.27126775707914,6.36645778807483e-50,2.70111169158837e-48,-2.65642661893115,3.00808221594704e-26,3.22801445460999e-24
"ATP2B4",-2.07796076728078,1.54949921164292e-45,5.26723663975697e-44,-2.83288423385589,6.89392013943496e-28,8.95260455208796e-26
"ATP5MC2P4",2.83154115833049,4.51761255618825e-09,1.20875395026716e-08,3.44867001673136,0.00092347852969645,0.002536346165623
"ATP5MFP2",2.01728905132796,1.0722075929496e-08,2.77716824806119e-08,2.23750080671472,0.00276664070498926,0.00662138996716246
"ATP6V0D2",-2.00784345414846,1.79521795950965e-35,3.53066043527501e-34,-2.16778298276636,3.19003633905355e-13,6.9127740304932e-12
"ATP6V1C2",2.79483003725325,7.61702389298441e-24,7.00254780477112e-23,2.67351138914987,5.18062549836143e-07,3.444971783159e-06
"AUNIP",2.26567522873681,2.36703580077514e-48,9.20038818563653e-47,2.08619402557584,2.97528553647184e-10,4.01772569600869e-09
"AXIN2",2.48402205193932,2.79476989618571e-21,2.11793170245956e-20,2.8162718005471,2.48957119267701e-11,4.02216317522392e-10
"AZGP1",3.14631845868661,1.84790680734103e-25,1.90091449265121e-24,3.7939428271652,3.65531994130326e-10,4.80256515161992e-09
"B3GALT1",-3.21986904324322,8.05666760807176e-50,3.39431725753587e-48,-3.30764320825929,1.7704840515618e-15,5.37777028610832e-14
"B3GALT5",-2.62343090451909,7.6702937639188e-28,9.12058483480713e-27,-2.59440257046619,4.58353176522621e-08,3.88927427862779e-07
"B3GALT5-AS1",-4.05474784160675,9.13904674702344e-66,7.71865097690195e-64,-3.96867614630479,3.8670298970084e-15,1.1088166845486e-13
"B3GNT7",-3.19704334956907,1.7272984012002e-42,5.00307552937378e-41,-3.24266115541445,1.44600693773859e-11,2.42866825972008e-10
