"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000183034.13",-8.37056278785644,3.14812357432969,2439.83872430342,1.29870344083508e-243,2.34727659896533e-239,TRUE
"ENSG00000170419.11",-5.14659056334976,-0.456926544737551,1362.04957909038,6.07757646707238e-191,5.49230585329331e-187,TRUE
"ENSG00000073734.10",-5.25883674488927,0.447470018427271,1563.73580904282,8.96871774709204e-189,5.40335348536472e-185,TRUE
"ENSG00000120498.14",-4.14860691753489,-0.121625889049323,1577.57502626082,3.36408483007518e-186,1.52006173046947e-182,TRUE
"ENSG00000142959.5",-5.96231340811163,3.14565636405823,1951.61445599062,2.72125382316708e-180,9.83678831998435e-177,TRUE
"ENSG00000196660.11",-6.05014503172783,1.99923595191066,1340.22757871492,5.24939735498502e-156,1.58129346323332e-152,TRUE
"ENSG00000162461.8",-4.02197605040736,1.29320982225998,1365.84206330047,4.80353182047597e-151,1.24027191604689e-147,TRUE
"ENSG00000163815.6",-4.03604462442796,1.6100921378995,1383.096151787,1.20915904778968e-150,2.73179257871882e-147,TRUE
"ENSG00000164303.11",-3.43558466448433,-0.919956735402543,1002.19412943223,5.74950588844711e-147,1.1546285491977e-143,TRUE
"ENSG00000107611.16",-5.09063279971059,1.67920619781106,1237.17163999833,1.30084301076944e-144,2.35114365766469e-141,TRUE
"ENSG00000079689.14",-4.90081849238351,0.981497536895961,1081.99760452631,1.84974397526521e-138,3.03929750990394e-135,TRUE
"ENSG00000116748.21",-4.04536527416472,-0.283756129375119,937.58480569107,1.86335421298639e-135,2.806522003793e-132,TRUE
"ENSG00000118137.10",-7.59701952510777,3.41679009822564,1023.79753041308,2.39556640659212e-132,3.33057440251892e-129,TRUE
"ENSG00000172410.4",-6.32775075151874,1.53983394649745,927.89638516853,3.60435901908017e-132,4.6532274936325e-129,TRUE
"ENSG00000224321.1",-3.12848883965518,-0.516243651758182,929.135163589403,9.13936724284726e-132,1.10123282364814e-128,TRUE
"ENSG00000138669.9",-3.96316650528647,1.16804463631363,1056.10837199476,2.87208396969231e-130,3.24437785426367e-127,TRUE
"ENSG00000130226.17",-4.82470542497925,0.500668865993859,913.341801054511,6.34638830589604e-129,6.74733072004501e-126,TRUE
"ENSG00000163959.10",-4.00561194377928,2.99033493669517,1070.39213771743,1.00937481109771e-128,1.01352446309889e-125,TRUE
"ENSG00000108381.11",-3.78033101228672,0.145600216715602,943.041448386859,1.99703737500586e-128,1.89970807978189e-125,TRUE
"ENSG00000123560.14",-5.17404043004533,1.30726095695027,970.96930739181,3.81025653461263e-128,3.44332883032943e-125,TRUE
"ENSG00000141434.12",-5.66865024405961,2.33608697544139,1011.99209444352,4.22978659689631e-127,3.64043633106209e-124,TRUE
"ENSG00000065325.13",-3.86350035319439,0.908773264555839,992.637984339819,1.33865664930788e-126,1.09976728543594e-123,TRUE
"ENSG00000168546.11",-3.6521849572041,0.454931914901232,893.17158868719,8.6940262163613e-121,6.83199260150062e-118,TRUE
"ENSG00000118777.12",-4.82747402987366,3.36181631855361,949.525698552993,9.76655086294998e-120,7.35502667903991e-117,TRUE
"ENSG00000203859.10",-5.66135968818404,1.40798562436997,841.848684220081,3.91046390444807e-119,2.82710898435978e-116,TRUE
"ENSG00000036672.16",-4.11060764925288,2.52938135620702,927.490675047167,4.54337683543213e-118,3.15834588167693e-115,TRUE
"ENSG00000168748.14",-5.7083625275327,3.26860591272763,914.351366242488,2.93109411866664e-117,1.96209611484374e-114,TRUE
"ENSG00000040199.18",-2.61608082150621,4.72754173589723,884.446691097855,7.51919523310205e-115,4.85364052296738e-112,TRUE
"ENSG00000044012.4",-6.4323499772683,3.56866771889379,878.495024674497,8.91668142836431e-115,5.55724483228471e-112,TRUE
"ENSG00000169764.16",-2.10104361669426,6.97985508807222,872.298220266417,6.77434684792979e-114,4.0813181643161e-111,TRUE
"ENSG00000034971.17",-4.65709673590682,-0.365471651354902,688.018510641712,9.55743937964218e-113,5.57229546282751e-110,TRUE
"ENSG00000182271.13",-6.33212823858176,3.61726808361015,842.353053200986,1.49183326803226e-111,8.17072560194394e-109,TRUE
"ENSG00000257335.8",-5.12426908139858,2.29427253677732,817.889018342081,4.99756367993469e-110,2.65664605738646e-107,TRUE
"ENSG00000242366.3",-4.24412138920117,0.94220269507801,782.939659352013,1.14486447824539e-109,5.91208016565917e-107,TRUE
"ENSG00000187783.12",-4.43299988233792,1.68562703821787,807.980475846403,1.64697416919088e-109,8.26872531498778e-107,TRUE
"ENSG00000119147.10",-4.11129841102323,-0.149471633133682,695.840125413001,9.78793416468113e-109,4.65545058138018e-106,TRUE
"ENSG00000186462.9",-3.49644320293273,-0.401152815248589,693.333834322908,1.14229314750986e-107,5.29379649951108e-105,TRUE
"ENSG00000152785.8",-5.25581270168326,2.88525703520948,786.564254629692,1.24950792859561e-106,5.64590157535927e-104,TRUE
"ENSG00000249948.6",-4.91608662649897,1.9086053804685,765.733602898941,5.06426817046676e-106,2.23247763202478e-103,TRUE
"ENSG00000168079.17",-4.78065761731521,3.48644347166092,778.430107956167,1.11072006681536e-105,4.77979868752877e-103,TRUE
"ENSG00000233670.7",-3.95310654015358,-0.343982083545922,654.310770273538,7.20188978353872e-105,3.02713851041114e-102,TRUE
"ENSG00000157005.4",-5.04930889825208,0.939623073410527,694.51523466599,1.01825947058801e-104,4.18273219804719e-102,TRUE
"ENSG00000167281.19",-4.81955933966453,1.33684069218609,728.85597937401,1.52772847506641e-104,6.13603654630005e-102,TRUE
"ENSG00000162706.13",-4.36937072958832,0.855062171353577,712.472687746256,8.81655703864046e-104,3.46414025905191e-101,TRUE
"ENSG00000279756.1",-3.91954334333924,0.116445490288205,670.612704392006,2.62887055628157e-103,1.01094056243049e-100,TRUE
"ENSG00000131096.10",-5.97355608952196,3.10722773011425,742.274849835424,3.93613655439016e-103,1.48211941841766e-100,TRUE
"ENSG00000254645.2",-4.52037636631788,1.18871627358894,704.780364489037,6.22603981001255e-102,2.29651925563606e-99,TRUE
"ENSG00000125851.10",-4.42759282234779,-0.251244192121318,617.248915488275,1.27428435459107e-101,4.60628308497578e-99,TRUE
"ENSG00000225335.3",-2.36718881455911,0.976728394206363,715.725412229242,1.09174515477627e-100,3.79465421681277e-98,TRUE
"ENSG00000163106.11",-3.04702521397716,-0.0386428648280887,662.234192543817,2.93781494505429e-100,1.00185032673417e-97,TRUE
"ENSG00000172005.11",-3.52177508831693,0.0387222329871927,649.982284508771,5.52788827020676e-100,1.84517577741732e-97,TRUE
