"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000062038.14",6.04524448922276,6.64655216634345,619.768406478106,4.93662428120382e-91,1.17400720076944e-88,TRUE
"ENSG00000120254.16",2.45841171857766,5.72904182709017,551.629091304103,4.88908857801735e-84,8.25844737935379e-82,TRUE
"ENSG00000175832.13",5.37266079366822,6.81360688611663,511.248412494196,1.19401372025106e-79,1.68598468592325e-77,TRUE
"ENSG00000129474.16",3.0654493741943,4.6589961011119,509.694739955755,1.80892031827987e-79,2.51495583327618e-77,TRUE
"ENSG00000164283.13",5.79526287835727,2.8963723626105,489.264022117356,1.57754621312906e-78,2.12090136948349e-76,TRUE
"ENSG00000167767.14",6.791716023532,5.41804203449074,487.576856306686,3.48524693394472e-77,4.37446896417479e-75,TRUE
"ENSG00000159263.16",7.99114665495437,3.40749016994609,395.671592951537,1.62168246589681e-67,1.48031762063732e-65,TRUE
"ENSG00000163347.6",4.86582114244138,6.65737274789774,387.237294988928,4.66210336218403e-65,3.79562415171686e-63,TRUE
"ENSG00000050344.9",2.75423411647773,6.44004726939106,386.004321469797,6.56969245115563e-65,5.32469154090524e-63,TRUE
"ENSG00000171617.14",2.13292134216569,7.4858224233431,365.684208935605,2.51612061501453e-62,1.79748474291591e-60,TRUE
"ENSG00000164379.7",6.29783554722994,6.12601160914428,359.052815264542,1.87701836286822e-61,1.28993269545552e-59,TRUE
"ENSG00000071539.14",2.3685056162839,4.8714849086478,352.918518038256,1.15342091573447e-60,7.66431236433262e-59,TRUE
"ENSG00000103888.17",5.29725039667195,7.18426599953402,352.017654796919,1.50486067791443e-60,9.96294941121811e-59,TRUE
"ENSG00000105989.10",5.51949885248204,3.26818957425403,342.083865786651,1.20200477965939e-59,7.70391290339139e-58,TRUE
"ENSG00000105464.3",4.91170993181294,5.38023955398564,330.572070020231,1.06533942630771e-57,6.39699162494537e-56,TRUE
"ENSG00000181577.16",4.94665522967908,5.29789020163519,321.925340507814,1.55410424168023e-56,8.91710478226301e-55,TRUE
"ENSG00000157193.18",3.10835836968192,4.38745368951197,318.390122570629,4.6598543906727e-56,2.59145256175441e-54,TRUE
"ENSG00000173898.14",3.20980018757341,5.64477874724964,313.57392145702,2.05134279929413e-55,1.11674607694103e-53,TRUE
"ENSG00000101255.11",3.8968498338451,6.43708049580062,306.97695270401,1.64221448368074e-54,8.62830947036214e-53,TRUE
"ENSG00000122778.10",2.35508586465788,4.78619515325273,302.021149946602,8.02610435719718e-54,4.0295502819995e-52,TRUE
"ENSG00000265688.2",3.05968636456681,2.59229659766217,295.601105680077,6.87779996571548e-53,3.34164937043929e-51,TRUE
"ENSG00000111110.12",2.35720503718998,5.60050523552489,295.080160299159,7.34552525598182e-53,3.54981346194159e-51,TRUE
"ENSG00000006704.11",2.20454759058298,6.24796675227811,291.915571805919,2.03035683046126e-52,9.58137581038039e-51,TRUE
"ENSG00000101187.16",3.61100493060623,6.13803557038942,291.88111296843,2.06086574753742e-52,9.70002279192484e-51,TRUE
"ENSG00000172031.7",4.6478859312058,3.00972365388648,288.526151367859,4.72715220666306e-52,2.19636372707527e-50,TRUE
"ENSG00000273604.2",3.70555335168256,3.9055790862067,289.387278006321,4.87003825172712e-52,2.2569505477363e-50,TRUE
"ENSG00000203499.12",2.90394073518886,5.24523228364208,284.411101137758,2.33854182857253e-51,1.0566701252405e-49,TRUE
"ENSG00000127423.11",2.26567522873681,2.55618583887941,263.781437447757,2.36703580077514e-48,9.20038818563653e-47,TRUE
"ENSG00000091651.9",2.05275144756519,4.10026772637511,262.857401870753,2.945781659819e-48,1.14008688906999e-46,TRUE
"ENSG00000186451.2",3.5539764940146,0.293645886065803,252.147129613726,1.3846483173614e-47,5.17068877851032e-46,TRUE
"ENSG00000115507.10",5.7034599593806,1.68356575780494,248.047822024078,6.17026679024262e-47,2.24389138766288e-45,TRUE
"ENSG00000174951.11",2.8959216721488,3.26701403496817,251.069112776813,1.64445886891464e-46,5.85077747967779e-45,TRUE
"ENSG00000181418.8",4.68121389507868,1.63685441215412,243.539763870145,5.90220965602525e-46,2.05939261241313e-44,TRUE
"ENSG00000187583.11",3.46573722018274,2.21417445443986,244.045186942244,1.65874646595166e-45,5.61426659655625e-44,TRUE
"ENSG00000197905.10",2.3214476122049,4.96373238149909,243.925322710022,1.78039499935802e-45,6.00351851089494e-44,TRUE
"ENSG00000112559.15",3.65383872010406,3.94843335974498,242.319062888061,3.20357900941425e-45,1.07224975955839e-43,TRUE
"ENSG00000103257.9",3.16631047249212,7.62661947994754,242.127970027097,3.27579230759657e-45,1.09439316390944e-43,TRUE
"ENSG00000281406.2",5.13175345519247,3.21546830366615,241.15051738663,3.30546218557643e-45,1.10226796203152e-43,TRUE
"ENSG00000146858.8",2.18096357639751,3.06188965848766,241.613192586106,4.18651907801533e-45,1.3858451614661e-43,TRUE
"ENSG00000196950.14",2.01254106448053,5.41858791519614,240.544475310513,5.67446197741004e-45,1.86473137781289e-43,TRUE
"ENSG00000254166.3",4.91496167792186,5.1773444345173,236.986411803935,1.9884557189175e-44,6.42922158563771e-43,TRUE
"ENSG00000139515.6",4.78738333836438,4.27341425813141,236.361381384585,2.43892816634342e-44,7.81581341817214e-43,TRUE
"ENSG00000011426.11",2.18582385092555,5.90502606368014,235.676847846469,3.05132048951444e-44,9.67536254868141e-43,TRUE
"ENSG00000078114.19",2.47223118890848,6.68357829673171,235.170918444584,3.6317462191273e-44,1.1475556147641e-42,TRUE
"ENSG00000005001.10",4.1251217752823,4.68970403324438,234.700743758473,4.40147493922659e-44,1.38834656285482e-42,TRUE
"ENSG00000234602.9",3.94959358464181,0.300629125478603,227.735983809986,6.75501224691536e-44,2.0834486578626e-42,TRUE
"ENSG00000178773.15",5.73490457840475,5.03790093956891,227.571867960016,5.11320829025161e-43,1.52000208286197e-41,TRUE
"ENSG00000237686.7",4.65408366231464,1.00650044692266,222.903001537923,5.33457637205346e-43,1.5832041600738e-41,TRUE
"ENSG00000196584.3",2.16812139599315,3.2849571938608,226.687992619217,7.37818241738691e-43,2.17187734546989e-41,TRUE
