"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000179915.24",-6.0868859553824,0.559835737865819,677.294957937734,9.8407153123675e-73,1.76355459112938e-68,TRUE
"ENSG00000130226.17",-5.96527402405299,0.8726912637155,589.045975239675,5.81562932172104e-64,5.21109465372814e-60,TRUE
"ENSG00000123560.14",-6.47467181721747,1.67205603250757,569.895630197524,2.14769984681995e-60,1.28296429849535e-56,TRUE
"ENSG00000183034.13",-7.44314282111632,2.09115361009062,496.989515282476,2.22228576718278e-58,9.95639580842064e-55,TRUE
"ENSG00000157005.4",-6.40368515055309,1.54241970962549,517.376069318717,8.92041399399393e-58,3.1972547837273e-54,TRUE
"ENSG00000147655.12",-5.54749931291309,1.1962980859481,526.21733876398,7.72099438765851e-57,2.3061323403538e-53,TRUE
"ENSG00000163873.10",-4.4913293519035,0.670418912761848,515.556782931331,9.8421238534207e-56,2.51972430824503e-52,TRUE
"ENSG00000115593.15",-5.32212525005444,0.0628472679843266,381.629476947638,1.06419521095433e-51,2.38393029693907e-48,TRUE
"ENSG00000175785.13",-5.44877528138143,1.2468223268589,445.423540780356,1.56876394261403e-51,3.12375762395401e-48,TRUE
"ENSG00000142959.5",-5.42924490930784,2.53480977442781,457.424439568831,5.52946099198611e-51,9.9093470437383e-48,TRUE
"ENSG00000108381.11",-4.20330113976229,-0.145986997352907,401.16437122107,9.17002970972207e-51,1.49396456752663e-47,TRUE
"ENSG00000030304.14",-4.34678796387113,-0.537848716234964,366.866634104065,1.91684360688685e-50,2.86264618991828e-47,TRUE
"ENSG00000233670.7",-4.51053688827147,-0.670956012628821,333.868159522987,7.02781452187384e-49,9.68811261896162e-46,TRUE
"ENSG00000241158.7",-4.83412061967648,-0.0706354803425794,358.422691904497,1.59424833815542e-48,2.04075174772024e-45,TRUE
"ENSG00000172005.11",-4.27080617908386,-0.0854015292776778,370.871061840418,1.84286130246906e-48,2.20172782676986e-45,TRUE
"ENSG00000065325.13",-4.12970191765256,1.03610662552973,412.407672435702,2.02480739000187e-48,2.26791082726397e-45,TRUE
"ENSG00000118432.12",-4.82897738118804,0.412287682507884,381.161611606658,2.43743918971741e-48,2.56949104228975e-45,TRUE
"ENSG00000136546.16",-6.17692595589124,2.40131604736465,394.246901590208,3.52754352563745e-47,3.5120615290527e-44,TRUE
"ENSG00000053328.8",-3.98944288482068,-0.612882034705423,329.013406473315,1.46324411234241e-46,1.38014724933096e-43,TRUE
"ENSG00000171246.6",-5.85308227356997,2.29504197893519,380.065415725228,4.16363337677506e-46,3.73082368725929e-43,TRUE
"ENSG00000162706.13",-5.0148928235967,0.759728834250585,360.195428003559,4.65896543373308e-46,3.97587235894908e-43,TRUE
"ENSG00000163815.6",-4.2289452381833,1.77716339498563,375.53820447498,1.1841633412436e-45,9.6460869265575e-43,TRUE
"ENSG00000167281.19",-5.03414238423528,0.881316138351505,348.252689513471,5.86084759946111e-45,4.56661955782359e-42,TRUE
"ENSG00000237125.11",-5.71988618731643,2.31598967116056,363.739201433884,6.74516433255949e-45,5.03667041682494e-42,TRUE
"ENSG00000120498.14",-3.76986649986903,-0.587342183080222,310.222297887817,2.15008197568817e-44,1.54126476345231e-41,TRUE
"ENSG00000068976.14",-4.40810320209515,1.21373069343034,354.704143126419,2.24938618684772e-44,1.55043268671146e-41,TRUE
"ENSG00000112425.16",-2.47798951048093,2.26673902158358,351.684346060856,4.65426597658107e-44,3.08922594690035e-41,TRUE
"ENSG00000158887.19",-3.45692683513237,1.0202361467986,332.452077833601,1.3530030735867e-42,8.6597028863383e-40,TRUE
"ENSG00000186462.9",-4.05800598295607,-0.218732637482162,297.889827896433,3.23250427099597e-42,1.99757617381099e-39,TRUE
"ENSG00000116194.13",-5.3345382969122,1.97887060327443,326.908134993697,3.47312534498069e-42,2.07472931024663e-39,TRUE
"ENSG00000170091.11",-4.33290298307531,-0.285646416033098,288.216400563914,4.36558434576793e-42,2.5237302277583e-39,TRUE
"ENSG00000272463.1",-3.33927289741774,0.0752753361600942,310.648697190141,9.05151645265368e-42,5.06913207337521e-39,TRUE
"ENSG00000269404.7",-4.94022607413766,2.02639855266241,314.344208471417,3.88764703270294e-41,2.11122795372937e-38,TRUE
"ENSG00000018625.15",-5.71054616737257,2.55820689246588,314.146185111725,4.04131136918906e-41,2.13012767785992e-38,TRUE
"ENSG00000187980.7",-3.90874852981796,-0.366661724357885,277.495252896009,8.17873979770546e-41,4.18774845470513e-38,TRUE
"ENSG00000149575.9",-4.17008373233593,-0.586693497407657,266.13576687457,1.12847643846031e-40,5.61761840379089e-38,TRUE
"ENSG00000198624.13",-3.55444082016176,4.82803615739136,306.082836313358,1.16969441776008e-40,5.66543071910229e-38,TRUE
"ENSG00000165072.10",-5.11933673433583,1.63660447021024,305.994724622793,1.22758132886409e-40,5.78933815646667e-38,TRUE
"ENSG00000172987.13",-3.71698477544997,0.168621436202992,293.871391707488,1.83064167944428e-40,8.41203321469765e-38,TRUE
"ENSG00000100146.18",-4.64417272321906,0.31091485180901,280.419111780499,4.16071619128596e-40,1.86410487160089e-37,TRUE
"ENSG00000144218.19",-3.71972688571893,0.986649134958639,297.613837485617,6.75406400120031e-40,2.95218490159782e-37,TRUE
"ENSG00000123119.12",-3.9646714600064,0.048859512093818,281.994703239551,7.65936656445508e-40,3.26817876670475e-37,TRUE
"ENSG00000166292.12",-3.90023692665437,0.5451228654612,289.367106907715,1.31085834487066e-39,5.46323079033189e-37,TRUE
"ENSG00000046653.15",-3.69078173602586,2.42779458628503,294.178115017531,1.43620079551242e-39,5.84958055826776e-37,TRUE
"ENSG00000121577.14",-4.03299918307748,1.86495620457991,294.652723671678,1.52132662238513e-39,6.05859875550308e-37,TRUE
