"Ensembl_ID","logFC","logCPM","F","PValue","FDR","Significant","hgnc_symbol","gene_biotype"
"ENSG00000004776",-2.9118300452559,2.77126607288771,47.7887500470759,8.07808836435575e-11,1.21176317562835e-09,TRUE,"HSPB6","protein_coding"
"ENSG00000004799",-3.45321585547337,4.82483561607045,218.763236281395,6.74221644614639e-33,1.58983238067618e-30,TRUE,"PDK4","protein_coding"
"ENSG00000005249",-2.63955857225795,2.97050975536907,120.0831227383,1.02874134333234e-21,6.86132256195689e-20,TRUE,"PRKAR2B","protein_coding"
"ENSG00000007216",-2.0486263358329,4.0123443134466,14.5559016738898,0.000186982351957463,0.000631413365259033,TRUE,"SLC13A2","protein_coding"
"ENSG00000007306",-3.04194034682753,8.16693884592524,38.7322411774643,3.33015852414347e-09,3.60820864033707e-08,TRUE,"CEACAM7","protein_coding"
"ENSG00000007312",-2.52056846353795,0.916751709892997,80.3816346231269,4.21960314205948e-16,1.39006448361853e-14,TRUE,"CD79B","protein_coding"
"ENSG00000011465",-2.28113388550071,8.01470132965304,44.4780932622191,3.06259772791847e-10,4.11739038874921e-09,TRUE,"DCN","protein_coding"
"ENSG00000012124",-3.2552497787737,1.70021943017519,98.7876337344746,8.75597096926741e-19,4.00295295255717e-17,TRUE,"CD22","protein_coding"
"ENSG00000012223",-2.04360556843449,2.47814917011819,37.8491920388566,4.87631746453874e-09,5.11642185491796e-08,TRUE,"LTF","protein_coding"
"ENSG00000016490",-2.61098906205269,7.70660929061068,11.9524778589798,0.000681166658886616,0.00193887987514407,TRUE,"CLCA1","protein_coding"
"ENSG00000016602",-4.86027698176165,5.99261893247635,68.4446106188038,2.84610497341863e-14,7.3283113834246e-13,TRUE,"CLCA4","protein_coding"
"ENSG00000018236",-3.31172436116182,1.35435988845439,63.3695145981492,1.97288762024768e-13,4.44172349779632e-12,TRUE,"CNTN1","protein_coding"
"ENSG00000018408",-2.10613521751268,4.86192346593312,62.7763418965806,2.33998300853675e-13,5.1963860589823e-12,TRUE,"WWTR1","protein_coding"
"ENSG00000018625",-5.71054616737257,2.55820689246588,314.146185111725,4.04131136918906e-41,2.13012767785992e-38,TRUE,"ATP1A2","protein_coding"
"ENSG00000019102",-3.04995018194606,5.27475428372915,42.4059387647811,7.18682160376114e-10,8.91932340450163e-09,TRUE,"VSIG2","protein_coding"
"ENSG00000022267",-3.87736138676229,5.72204230656884,204.923816425108,1.62931847328055e-31,3.4351783952542e-29,TRUE,"FHL1","protein_coding"
"ENSG00000023902",-2.06549382497878,4.80099627750111,85.6479342782416,6.39194606836105e-17,2.36185702043502e-15,TRUE,"PLEKHO1","protein_coding"
"ENSG00000026103",-2.02827917036557,3.90870803689751,70.7657016692911,1.2220836362783e-14,3.29833747676859e-13,TRUE,"FAS","protein_coding"
"ENSG00000030304",-4.34678796387113,-0.537848716234964,366.866634104065,1.91684360688685e-50,2.86264618991828e-47,TRUE,"MUSK","protein_coding"
"ENSG00000034971",-4.71924735816853,-0.145137034389875,161.715417140722,2.70470438423459e-28,3.70374765866188e-26,TRUE,"MYOC","protein_coding"
"ENSG00000036672",-2.45480088173006,2.09328578944977,71.9859081889919,8.14180087880279e-15,2.24475713152346e-13,TRUE,"USP2","protein_coding"
"ENSG00000038295",-2.68641889783745,-0.16828306864079,99.0640159784582,4.94208884023215e-19,2.33686475213193e-17,TRUE,"TLL1","protein_coding"
"ENSG00000039987",-2.95644155510327,2.30437626977497,36.3310459637287,9.33075519941411e-09,9.21302831563087e-08,TRUE,"BEST2","protein_coding"
"ENSG00000040199",-2.03198350527171,4.34399522139618,137.951552751446,5.28894739341184e-24,4.23139402845239e-22,TRUE,"PHLPP2","protein_coding"
