"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000062038.14",5.1080908698702,6.5142575591339,163.534973402299,4.78697628326633e-27,5.60701973675921e-25,TRUE
"ENSG00000175832.13",5.14391047188688,7.01479072881102,162.148044236037,6.88862124954751e-27,7.96457944600909e-25,TRUE
"ENSG00000167767.14",6.24390804873113,5.48177552197147,128.116083604481,9.12804174129607e-23,6.78770274048825e-21,TRUE
"ENSG00000050344.9",2.87662305169424,6.56279273476998,124.467243092998,2.66951360709498e-22,1.9059901734163e-20,TRUE
"ENSG00000164379.7",7.11366578315517,6.45375867206496,107.765740020311,4.48462529794729e-20,2.39193362989623e-18,TRUE
"ENSG00000105464.3",5.89787657666255,5.42431984569286,100.464689666241,4.63287349253412e-19,2.20813100690702e-17,TRUE
"ENSG00000129474.16",2.83837578370414,4.72463110956934,97.5128564188204,1.20436867501577e-18,5.43664761333943e-17,TRUE
"ENSG00000006704.11",2.38108288541306,6.46581891713029,96.832328597413,1.50189472306357e-18,6.69538689851299e-17,TRUE
"ENSG00000159263.16",7.26046933288271,3.76621521196358,94.0587779553567,2.47542447092621e-18,1.07936939035203e-16,TRUE
"ENSG00000163347.6",4.8409318884647,6.80019314348065,91.0161872075063,1.03557202219503e-17,4.23709730816372e-16,TRUE
"ENSG00000265688.2",3.08438684821427,2.80217374417967,88.9613869813326,2.11470658697149e-17,8.27459754260175e-16,TRUE
"ENSG00000101115.13",5.77192768732845,2.90735997512387,85.3790247071652,5.79767044887452e-17,2.16458441904751e-15,TRUE
"ENSG00000173898.14",2.96321975002214,5.58810135819995,85.8144606704745,6.03311024636608e-17,2.24061635045076e-15,TRUE
"ENSG00000164283.13",5.00642241631321,3.04318135989417,84.842600299591,8.04579966758752e-17,2.93663494588261e-15,TRUE
"ENSG00000164093.17",4.70666279263486,3.82172914613138,84.6332802432382,9.08568992346513e-17,3.28938685087714e-15,TRUE
"ENSG00000174951.11",2.91629127079382,3.30046465474351,80.3614586063582,4.0239293184574e-16,1.33295447904021e-14,TRUE
"ENSG00000138028.16",3.2776052034164,4.85582699267316,80.2173871245232,4.19056744754882e-16,1.38304160640004e-14,TRUE
"ENSG00000120254.16",2.16371204056311,5.74195959557233,80.1582269562149,4.2707689066611e-16,1.40433852433529e-14,TRUE
"ENSG00000101187.16",3.61197449925942,6.28545518310851,79.8973564654469,4.67925729516604e-16,1.53023667858888e-14,TRUE
"ENSG00000131389.17",3.27828151970932,7.16060428499251,79.8216632942429,4.80383179191361e-16,1.56526308259789e-14,TRUE
"ENSG00000103888.17",5.08418842224571,7.19058766585256,79.3501280798726,5.67119080398145e-16,1.81812898744457e-14,TRUE
"ENSG00000157766.19",3.99879310138093,3.58766208315616,77.9069541215844,9.51322602342375e-16,2.95983547857252e-14,TRUE
"ENSG00000249859.12",3.0713605610892,4.20696750638936,75.3107991862562,2.37725477653485e-15,7.10046380838017e-14,TRUE
"ENSG00000203499.12",2.94182975013406,5.3161905742871,74.9442178275048,2.70154660299301e-15,7.96289747898646e-14,TRUE
"ENSG00000105989.10",5.34705220647665,3.43258951606562,74.0668690777801,3.56382380590324e-15,1.03178168700472e-13,TRUE
"ENSG00000112877.8",2.1571775304358,3.43645137244773,73.9611537523503,3.86512080441826e-15,1.1088166845486e-13,TRUE
