"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000142583.18",-3.32007561462054,3.40851330705206,333.248232265802,3.43879167944515e-56,4.37620629126189e-52,TRUE
"ENSG00000159228.13",-2.22519142850086,5.33450442007765,326.924827877881,2.14226681624959e-55,1.36312437517961e-51,TRUE
"ENSG00000134531.10",-3.27058508688793,7.9726190100206,325.26822633544,3.47192996293734e-55,1.47279269027802e-51,TRUE
"ENSG00000139433.11",-1.97721285956848,5.72003368905673,284.80268685721,6.42169991109916e-50,2.0430638267162e-46,TRUE
"ENSG00000138030.13",-2.7406679161798,3.09695670755679,281.471778262098,1.80297938129604e-49,4.58894312127468e-46,TRUE
"ENSG00000114113.6",-6.05740998726888,5.45107633920571,280.497549717108,2.43235457828894e-49,5.15902406055084e-46,TRUE
"ENSG00000100889.12",-2.29975034539307,5.6824821927217,278.710637342011,4.22440215070307e-49,7.67996310997819e-46,TRUE
"ENSG00000159388.6",-2.34474239193364,7.68415368314271,263.015173447638,5.82987635938827e-47,9.27387581869689e-44,TRUE
"ENSG00000168060.16",-3.0623899498774,2.92940349375881,262.133014003413,7.76981121942559e-47,1.09865130642678e-43,TRUE
"ENSG00000159640.17",-2.2331212081213,5.64861321506057,232.925339814727,1.00937435161311e-42,1.28452979986285e-39,TRUE
"ENSG00000110244.7",-6.72406370520135,5.88436016648164,231.523335262393,1.61098989787738e-42,1.86376885821705e-39,TRUE
"ENSG00000144655.15",-1.86771008536946,5.68226540953106,222.675719791336,3.0967459932692e-41,3.28409912586199e-38,TRUE
"ENSG00000106853.20",-2.00443055970889,5.38833404304035,222.082918582674,3.78092699431587e-41,3.70123668689722e-38,TRUE
"ENSG00000118898.16",-3.47638038003845,7.67779683102944,220.467845766536,6.51899958597519e-41,5.92577062365145e-38,TRUE
"ENSG00000259330.3",-2.3902051872705,4.8517847712116,214.841316637537,4.39442695265358e-40,3.72823182663129e-37,TRUE
"ENSG00000046653.15",-2.67135395034909,3.23080373999161,214.017969979561,5.8278654162968e-40,4.63533845548707e-37,TRUE
"ENSG00000172965.17",1.92422638405821,3.99465299396165,212.939200218114,8.41921935139308e-40,6.30252855681343e-37,TRUE
"ENSG00000160213.9",-2.89496206028262,8.62902104498766,211.276052079604,1.48489322261865e-39,1.04981950839138e-36,TRUE
"ENSG00000186806.5",-3.49895356403362,4.19650628048208,208.186549686956,4.29041993924951e-39,2.87367811299417e-36,TRUE
"ENSG00000120254.16",1.87006098574494,4.93742848902708,207.245228114759,5.93130381650156e-39,3.77408861843995e-36,TRUE
"ENSG00000138029.14",-0.950744205098539,6.48705261216113,205.548664067442,1.06472212285056e-38,6.4522160644744e-36,FALSE
"ENSG00000197766.8",-2.8710039379784,5.65754670183202,202.952129269712,2.61573025887761e-38,1.51308105793075e-35,TRUE
"ENSG00000257335.8",-3.74994808439043,3.85445089479085,201.753451793619,3.97013568279171e-38,2.19669333474814e-35,TRUE
"ENSG00000163686.15",-1.41169115287848,3.85992413616398,201.559780474348,4.24302737689384e-38,2.24986526659796e-35,TRUE
"ENSG00000132465.12",-3.8815284060829,9.44793472996408,201.419825563591,4.45340224680717e-38,2.26695987971472e-35,TRUE
"ENSG00000164442.10",-1.6612191160325,5.74267643315074,197.119058054958,1.99654143085191e-37,9.77230240346976e-35,TRUE
"ENSG00000163472.19",-2.35535730864942,3.31478324298563,196.014650776022,2.94238945746008e-37,1.38684623094952e-34,TRUE
"ENSG00000133800.9",-2.83129209465188,2.99358545175815,195.824183003685,3.15328214170079e-37,1.43316673340301e-34,TRUE
"ENSG00000034971.17",-4.9463343792924,3.29733613706078,194.023465065177,5.99897671019812e-37,2.63251646944763e-34,TRUE
"ENSG00000143369.15",-3.02935043535449,6.76505108578411,189.138735691101,3.3192024422574e-36,1.40800567600559e-33,TRUE
"ENSG00000099860.9",-2.11655102999815,5.4101855405651,187.613111137609,5.70384494115702e-36,2.2774090202595e-33,TRUE
"ENSG00000148180.21",-1.8717223473439,9.0041798791891,187.601886251364,5.7266296281867e-36,2.2774090202595e-33,TRUE
"ENSG00000224041.3",-3.70641751413983,2.85511744300358,186.612316249077,8.21190145180542e-36,3.16680781441442e-33,TRUE
"ENSG00000114166.8",-1.58711164062495,4.86909772483791,185.18573039193,1.35350835128556e-35,5.06610214072353e-33,TRUE
"ENSG00000099958.15",-3.14067430651399,3.42144324666734,183.094739000676,2.86085383570287e-35,1.04020645466156e-32,TRUE
"ENSG00000239264.9",-2.19004632052169,2.71254635503499,181.962658764473,4.3002409327827e-35,1.52013516973869e-32,TRUE
"ENSG00000164283.13",4.71793090217594,2.98150616289843,179.730632498002,9.48249431533895e-35,3.26146547721631e-32,TRUE
"ENSG00000151729.11",-1.8937195721143,5.17475785615463,177.277594009138,2.31361424878047e-34,7.7481723499948e-32,TRUE
"ENSG00000116044.16",-0.979320585957201,7.28412088894476,176.790787668477,2.75863909229311e-34,9.00165156115952e-32,FALSE
"ENSG00000187288.12",-3.69809495595043,3.12554600150745,174.149845662787,7.21578563427821e-34,2.29570219954561e-31,TRUE
"ENSG00000211445.12",-2.47429561321309,6.49145120836609,173.323683164575,9.69639239090215e-34,3.00966559918587e-31,TRUE
"ENSG00000133710.16",-4.54934706732136,6.70961661883502,171.741545824991,1.72485619602543e-33,5.22631427395704e-31,TRUE
"ENSG00000153446.16",-3.5404812159024,3.16535170893098,170.514150188481,2.70882176420807e-33,8.01685250495626e-31,TRUE
"ENSG00000118777.12",-2.74676071311523,3.41735971766603,169.613905299193,3.75409980951921e-33,1.08578804945321e-30,TRUE
"ENSG00000121552.4",-4.71514225643085,6.69719689539746,168.667734784621,5.30383609038396e-33,1.49992484636058e-30,TRUE
"ENSG00000076351.13",-2.02641404136463,2.94783204246211,168.341847696615,5.98576487047037e-33,1.65597486394795e-30,TRUE
"ENSG00000243264.2",-3.89184369063878,3.75652463846676,168.00461881142,6.77195170004696e-33,1.83361398584676e-30,TRUE
"ENSG00000171503.12",-1.30589028846736,4.57393069023071,166.698315890932,1.09257192896487e-32,2.8966813266681e-30,TRUE
"ENSG00000158828.8",-1.35949123968439,4.25276134000304,164.858917240248,2.1503610834158e-32,5.58479492807133e-30,TRUE
"ENSG00000164096.13",-1.20749003379777,6.36530816322357,164.681203666401,2.29597510235165e-32,5.80707249480715e-30,TRUE
"ENSG00000160868.15",-4.67108137294646,4.05133055856476,164.628584395888,2.34591933615967e-32,5.80707249480715e-30,TRUE
"ENSG00000117758.14",-0.899376081368819,5.78450836038818,164.591915025154,2.37284118914012e-32,5.80707249480715e-30,FALSE
"ENSG00000176273.15",-1.88213413653057,3.72082393492762,164.490988020199,2.46359850867081e-32,5.91542540025372e-30,TRUE
"ENSG00000135046.14",-3.06299163625619,8.50886529801005,164.022634596475,2.92751939361012e-32,6.89918737094118e-30,TRUE
"ENSG00000135447.17",-3.86570717794711,2.96924046530744,163.20433272796,3.98773941684931e-32,9.22690396705897e-30,TRUE
"ENSG00000176928.7",-2.6852155326148,3.58543205668628,163.10939950539,4.10417664673158e-32,9.32674142969752e-30,TRUE
"ENSG00000183172.9",-1.13403512563538,5.19486052198784,160.902984519466,9.28926400934193e-32,2.0739504172436e-29,TRUE
"ENSG00000149476.16",-1.45972982287823,5.49352073297351,160.632825503582,1.02690813376502e-31,2.24619928395321e-29,TRUE
"ENSG00000100417.12",-1.40839820536792,3.73723271242665,160.595751863464,1.04137794871318e-31,2.24619928395321e-29,TRUE
"ENSG00000172005.11",-5.06994798366738,6.36959636762143,160.060320040363,1.27024342003157e-31,2.69418629388697e-29,TRUE
"ENSG00000138823.13",-4.51600554179077,4.8166330438274,159.317928607498,1.67468294349945e-31,3.49377297360229e-29,TRUE
"ENSG00000160445.11",-0.992472191294758,6.29721590716278,158.017211401241,2.71765577358222e-31,5.57820764106571e-29,FALSE
"ENSG00000132744.8",-2.66171547169887,4.5187791449882,157.411926903139,3.40627153429788e-31,6.88066849928172e-29,TRUE
"ENSG00000060971.19",-1.15341904809025,5.04712210874234,157.230353634267,3.64508695638183e-31,7.24802759483049e-29,TRUE
"ENSG00000135697.10",-2.71525437336169,2.63997962068915,156.052447445726,5.68597468164598e-31,1.11322636613272e-28,TRUE
"ENSG00000118193.12",2.53287666890777,3.93098826817134,155.909163773054,5.98242730408005e-31,1.15352075563216e-28,TRUE
"ENSG00000145384.4",-4.60111764086186,4.24079649805708,155.692354321604,6.48457530291289e-31,1.23168216872939e-28,TRUE
"ENSG00000092853.14",2.24521493020532,4.2846885177748,155.215107606447,7.75216076386234e-31,1.43394818926715e-28,TRUE
