"Ensembl_ID","logFC","logCPM","F","PValue","FDR","Significant","hgnc_symbol","gene_biotype"
"ENSG00000004776",-2.57666632754601,6.83526983289456,49.276367850342,8.17935331138453e-12,6.15191786292432e-11,TRUE,"HSPB6","protein_coding"
"ENSG00000004799",-2.6371449564963,6.87534070390125,111.327087296487,2.03831206138235e-23,1.01326403488874e-21,TRUE,"PDK4","protein_coding"
"ENSG00000005243",-1.31041599869839,3.11013133164277,48.2696285793546,1.30008743329782e-11,9.49765366024571e-11,TRUE,"COPZ2","protein_coding"
"ENSG00000005249",-1.5854656517703,4.08022135248596,60.3096193542743,5.46891983970358e-14,5.79978949000565e-13,TRUE,"PRKAR2B","protein_coding"
"ENSG00000005469",-1.14774880863402,3.80992134498978,58.0578336469429,1.50442278952483e-13,1.48759008698469e-12,TRUE,"CROT","protein_coding"
"ENSG00000006555",-1.50362395355192,5.58152966668369,76.4296547367476,4.50179337741169e-17,7.84792089327962e-16,TRUE,"TTC22","protein_coding"
"ENSG00000006747",-2.03394325365687,4.07884192072783,79.8361782329604,1.03456556466023e-17,1.9978575684167e-16,TRUE,"SCIN","protein_coding"
"ENSG00000007216",-3.20693697375362,4.08625192738829,61.6389878101787,3.01649908997037e-14,3.31788828167355e-13,TRUE,"SLC13A2","protein_coding"
"ENSG00000011465",-1.41108467361108,8.72262739126168,49.5960784047532,7.06183998420391e-12,5.37598877359043e-11,TRUE,"DCN","protein_coding"
"ENSG00000012223",-2.93307598983947,7.28077026895678,59.7510130209404,7.02598063776274e-14,7.32821886110632e-13,TRUE,"LTF","protein_coding"
"ENSG00000012822",-1.08246498882718,6.0239500448044,97.85072922052,5.11212140034083e-21,1.7256460726986e-19,TRUE,"CALCOCO1","protein_coding"
"ENSG00000013016",-1.9662431909998,4.23767691826541,128.867739050307,1.88107244925259e-26,1.60661261672406e-24,TRUE,"EHD3","protein_coding"
"ENSG00000013583",-1.35547120614705,5.05880001426676,139.414146468428,3.12570015473426e-28,3.64932662102277e-26,TRUE,"HEBP1","protein_coding"
"ENSG00000014257",-1.78046108600498,3.4260499660828,56.4348846548534,3.12962954117533e-13,2.95896475044556e-12,TRUE,"ACP3","protein_coding"
"ENSG00000015520",-1.74781625437332,4.89315076021382,24.163173874158,1.2399302085524e-06,4.32666625556288e-06,TRUE,"NPC1L1","protein_coding"
"ENSG00000016082",-1.15252808749412,2.44200259196323,23.9714646055811,1.36298307733435e-06,4.72882296678215e-06,TRUE,"ISL1","protein_coding"
"ENSG00000016490",-3.47182997708499,5.18595983003519,46.7783038897707,2.58765065280081e-11,1.80243252367504e-10,TRUE,"CLCA1","protein_coding"
"ENSG00000018236",-1.90777607419024,3.55757991865019,30.3449265049362,6.07767054687102e-08,2.55093784233115e-07,TRUE,"CNTN1","protein_coding"
"ENSG00000018625",-2.8715999948092,4.03723664169667,67.5191263522433,2.21489854004151e-15,2.89392185016102e-14,TRUE,"ATP1A2","protein_coding"
"ENSG00000019102",-2.61140969579121,6.16080231583355,83.874563315342,1.83363024355579e-18,4.0301862658879e-17,TRUE,"VSIG2","protein_coding"
"ENSG00000021355",-1.00077970938496,7.99843510772509,45.0131215442859,5.86365536734656e-11,3.89665160338654e-10,TRUE,"SERPINB1","protein_coding"
"ENSG00000021488",-2.92350288238887,2.73853130193444,80.7075219648342,7.12320427584436e-18,1.41862124592168e-16,TRUE,"SLC7A9","protein_coding"
"ENSG00000021645",-1.80775063918783,4.18164121374053,32.5704815313155,2.08135743249187e-08,9.37937488877179e-08,TRUE,"NRXN3","protein_coding"
"ENSG00000022267",-2.57091055348493,7.48124457041178,87.3055506553731,4.26241601047256e-19,1.04019396183199e-17,TRUE,"FHL1","protein_coding"
"ENSG00000023902",-1.35533969083636,5.58076255349126,62.907390894201,1.71239996777029e-14,1.95619407449235e-13,TRUE,"PLEKHO1","protein_coding"
"ENSG00000026751",-1.4062214747016,5.05506573655785,39.221010344566,8.80883404640022e-10,4.85076685739892e-09,TRUE,"SLAMF7","protein_coding"
"ENSG00000030419",-1.50673196014281,3.68076618534353,70.0825087780989,7.16772978982138e-16,1.00569492067549e-14,TRUE,"IKZF2","protein_coding"
"ENSG00000034971",-4.9463343792924,3.29733613706078,194.023465065177,5.99897671019812e-37,2.63251646944763e-34,TRUE,"MYOC","protein_coding"
"ENSG00000036473",-2.72318761872428,2.88951913767413,48.0585549757742,1.43328429085742e-11,1.03813180907521e-10,TRUE,"OTC","protein_coding"
"ENSG00000036672",-2.41290670426698,2.44324061307289,153.655117421785,1.39753781241545e-30,2.37134216010654e-28,TRUE,"USP2","protein_coding"
"ENSG00000040199",-1.11604566650621,3.86106919213526,68.2344847182586,1.61562095137333e-15,2.14617872935041e-14,TRUE,"PHLPP2","protein_coding"
"ENSG00000043039",-2.10984406695744,4.1201632256516,70.9274219076126,4.94820398273806e-16,7.1314658985645e-15,TRUE,"BARX2","protein_coding"
"ENSG00000046653",-2.67135395034909,3.23080373999161,214.017969979561,5.8278654162968e-40,4.63533845548707e-37,TRUE,"GPM6B","protein_coding"
"ENSG00000047346",-1.03358392949351,4.87139842480259,104.200514270554,3.71962591092129e-22,1.54188792646203e-20,TRUE,"ATOSA","protein_coding"
"ENSG00000048342",-1.21472053561618,3.76544534144606,64.5427595086453,8.27223972753594e-15,9.88474392231195e-14,TRUE,"CC2D2A","protein_coding"
"ENSG00000048540",-2.2241916264886,2.81364672177187,77.5380912799436,2.78855939024531e-17,4.99819814088194e-16,TRUE,"LMO3","protein_coding"
"ENSG00000048740",-1.21390059068615,5.47765107516758,38.3552713160477,1.32529132079513e-09,7.14041378003335e-09,TRUE,"CELF2","protein_coding"
"ENSG00000049246",-1.39982752302935,4.69925652859718,75.7595913232363,6.0191097578122e-17,1.03094469418463e-15,TRUE,"PER3","protein_coding"
"ENSG00000049283",-1.14702347037021,5.34199584441872,27.3828143506541,2.55868407115757e-07,9.91227199073098e-07,TRUE,"EPN3","protein_coding"
"ENSG00000050628",-1.35093085588649,3.36904665222266,31.1193314289925,4.18269205938579e-08,1.79888270185007e-07,TRUE,"PTGER3","protein_coding"
"ENSG00000055118",-1.46624596770252,4.7619218499955,26.2723074764091,4.40130363959223e-07,1.64592977130328e-06,TRUE,"KCNH2","protein_coding"
"ENSG00000057657",-1.14221142144335,5.92186647542188,59.4044956194332,8.20871001639526e-14,8.47234741838168e-13,TRUE,"PRDM1","protein_coding"
"ENSG00000058668",-1.40346328773336,7.80059455449566,55.21715574543,5.43141753742976e-13,4.92309256277287e-12,TRUE,"ATP2B4","protein_coding"
"ENSG00000058866",-1.98316857396973,2.79761702937868,80.4651552539489,7.89893543149471e-18,1.56332585227374e-16,TRUE,"DGKG","protein_coding"
"ENSG00000059728",-1.67312862544474,6.7035134558516,120.131134313735,5.94204740491066e-25,4.04376980079642e-23,TRUE,"MXD1","protein_coding"
"ENSG00000059915",-2.84535606936377,4.38154502715445,92.4727611187006,4.82423496007919e-20,1.38898674438841e-18,TRUE,"PSD","protein_coding"
"ENSG00000060558",-1.56194376508448,3.61220364566101,66.2060952535202,3.95700980703005e-15,4.95151492667301e-14,TRUE,"GNA15","protein_coding"
"ENSG00000060566",-3.76320779151864,4.62499631984782,129.090045337189,1.72430616236584e-26,1.49275647770528e-24,TRUE,"CREB3L3","protein_coding"
"ENSG00000060762",-1.11787857073792,5.23344172939666,107.857177588272,8.34187667248476e-23,3.75119160897672e-21,TRUE,"MPC1","protein_coding"
"ENSG00000060971",-1.15341904809025,5.04712210874234,157.230353634267,3.64508695638183e-31,7.24802759483049e-29,TRUE,"ACAA1","protein_coding"
"ENSG00000061656",-1.22978684356069,2.93253488247595,51.7585268984299,2.62239084463893e-12,2.13926576210738e-11,TRUE,"SPAG4","protein_coding"
"ENSG00000064309",-1.51388244067346,3.56071975904507,44.3259006572617,8.07070299857998e-11,5.27247260574583e-10,TRUE,"CDON","protein_coding"
"ENSG00000064652",-1.03273849561471,3.47368485348499,86.5154444021836,5.96005587073465e-19,1.42303322722269e-17,TRUE,"SNX24","protein_coding"
"ENSG00000064655",-1.17680990610554,3.58730608707881,11.9109098181068,0.000610434132117266,0.00133684129501365,TRUE,"EYA2","protein_coding"
"ENSG00000064787",-1.30964186736277,6.1265226657948,21.8921452042667,3.81516130092386e-06,1.22853599988758e-05,TRUE,"BCAS1","protein_coding"
"ENSG00000065154",-1.31674177017087,6.9944968227493,74.961512203507,8.51149159338839e-17,1.42335403439502e-15,TRUE,"OAT","protein_coding"
"ENSG00000065320",-2.02374375850051,5.31454049008122,74.0892236630038,1.24381256790197e-16,2.02145690972706e-15,TRUE,"NTN1","protein_coding"
"ENSG00000065357",-1.11238719470478,5.2823161566884,54.9106502044485,6.24147198995801e-13,5.58965324026781e-12,TRUE,"DGKA","protein_coding"
"ENSG00000065534",-1.86009744582007,8.82437069740834,38.4586195270844,1.26215787247868e-09,6.82829937641832e-09,TRUE,"MYLK","protein_coding"
"ENSG00000065618",-1.04801411838744,6.25348455187662,9.55023818455878,0.00212253118353477,0.00419691296483273,TRUE,"COL17A1","protein_coding"
"ENSG00000065833",-1.38639301302758,4.97052031680662,73.3251653123043,1.7350306995556e-16,2.70588243658635e-15,TRUE,"ME1","protein_coding"
"ENSG00000066230",-1.09240376941598,4.91361611512906,8.24306443881372,0.00428272904085352,0.00797746044699969,TRUE,"SLC9A3","protein_coding"
"ENSG00000066629",-1.53907174420138,4.82809399196966,57.5693034482852,1.87495164173187e-13,1.82840111821301e-12,TRUE,"EML1","protein_coding"
"ENSG00000067840",-2.19903184533785,2.40744479366402,70.1864223196154,6.85627259180599e-16,9.66256090845217e-15,TRUE,"PDZD4","protein_coding"
"ENSG00000068383",-1.21300577530711,4.95524319888908,140.723313684716,1.88946979186119e-28,2.26728120323904e-26,TRUE,"INPP5A","protein_coding"
"ENSG00000068615",-1.7323399486684,3.40301326223191,44.6714363994784,6.87276642860356e-11,4.527061364928e-10,TRUE,"REEP1","protein_coding"
"ENSG00000068831",-1.14447084009156,3.14558315067819,23.901235060333,1.41090601837646e-06,4.88310850961623e-06,TRUE,"RASGRP2","protein_coding"
