"","Ensembl_ID","logFC","logCPM","F","PValue","FDR","Significant","hgnc_symbol","gene_biotype"
"6271","ENSG00000142583",-3.32007561462054,3.40851330705206,333.248232265802,3.43879167944515e-56,4.37620629126189e-52,TRUE,"SLC2A5","protein_coding"
"7646","ENSG00000159228",-2.22519142850086,5.33450442007765,326.924827877881,2.14226681624959e-55,1.36312437517961e-51,TRUE,"CBR1","protein_coding"
"5266","ENSG00000134531",-3.27058508688793,7.9726190100206,325.26822633544,3.47192996293734e-55,1.47279269027802e-51,TRUE,"EMP1","protein_coding"
"5961","ENSG00000139433",-1.97721285956848,5.72003368905673,284.80268685721,6.42169991109916e-50,2.0430638267162e-46,TRUE,"GLTP","protein_coding"
"5782","ENSG00000138030",-2.7406679161798,3.09695670755679,281.471778262098,1.80297938129604e-49,4.58894312127468e-46,TRUE,"KHK","protein_coding"
"3332","ENSG00000114113",-6.05740998726888,5.45107633920571,280.497549717108,2.43235457828894e-49,5.15902406055084e-46,TRUE,"RBP2","protein_coding"
"1936","ENSG00000100889",-2.29975034539307,5.6824821927217,278.710637342011,4.22440215070307e-49,7.67996310997819e-46,TRUE,"PCK2","protein_coding"
"7661","ENSG00000159388",-2.34474239193364,7.68415368314271,263.015173447638,5.82987635938827e-47,9.27387581869689e-44,TRUE,"BTG2","protein_coding"
"8873","ENSG00000168060",-3.0623899498774,2.92940349375881,262.133014003413,7.76981121942559e-47,1.09865130642678e-43,TRUE,"NAALADL1","protein_coding"
"7675","ENSG00000159640",-2.2331212081213,5.64861321506057,232.925339814727,1.00937435161311e-42,1.28452979986285e-39,TRUE,"ACE","protein_coding"
"2960","ENSG00000110244",-6.72406370520135,5.88436016648164,231.523335262393,1.61098989787738e-42,1.86376885821705e-39,TRUE,"APOA4","protein_coding"
"6511","ENSG00000144655",-1.86771008536946,5.68226540953106,222.675719791336,3.0967459932692e-41,3.28409912586199e-38,TRUE,"CSRNP1","protein_coding"
"2658","ENSG00000106853",-2.00443055970889,5.38833404304035,222.082918582674,3.78092699431587e-41,3.70123668689722e-38,TRUE,"PTGR1","protein_coding"
"3811","ENSG00000118898",-3.47638038003845,7.67779683102944,220.467845766536,6.51899958597519e-41,5.92577062365145e-38,TRUE,"PPL","protein_coding"
"12486","ENSG00000259330",-2.3902051872705,4.8517847712116,214.841316637537,4.39442695265358e-40,3.72823182663129e-37,TRUE,"INAFM2","protein_coding"
"500","ENSG00000046653",-2.67135395034909,3.23080373999161,214.017969979561,5.8278654162968e-40,4.63533845548707e-37,TRUE,"GPM6B","protein_coding"
"9539","ENSG00000172965",1.92422638405821,3.99465299396165,212.939200218114,8.41921935139308e-40,6.30252855681343e-37,TRUE,"MIR4435-2HG","lncRNA"
"7720","ENSG00000160213",-2.89496206028262,8.62902104498766,211.276052079604,1.48489322261865e-39,1.04981950839138e-36,TRUE,"CSTB","protein_coding"
"10833","ENSG00000186806",-3.49895356403362,4.19650628048208,208.186549686956,4.29041993924951e-39,2.87367811299417e-36,TRUE,"VSIG10L","protein_coding"
"3946","ENSG00000120254",1.87006098574494,4.93742848902708,207.245228114759,5.93130381650156e-39,3.77408861843995e-36,TRUE,"MTHFD1L","protein_coding"
"5781","ENSG00000138029",-0.950744205098539,6.48705261216113,205.548664067442,1.06472212285056e-38,6.4522160644744e-36,FALSE,"HADHB","protein_coding"
"11320","ENSG00000197766",-2.8710039379784,5.65754670183202,202.952129269712,2.61573025887761e-38,1.51308105793075e-35,TRUE,"CFD","protein_coding"
"12473","ENSG00000257335",-3.74994808439043,3.85445089479085,201.753451793619,3.97013568279171e-38,2.19669333474814e-35,TRUE,"MGAM","protein_coding"
"8114","ENSG00000163686",-1.41169115287848,3.85992413616398,201.559780474348,4.24302737689384e-38,2.24986526659796e-35,TRUE,"ABHD6","protein_coding"
"5027","ENSG00000132465",-3.8815284060829,9.44793472996408,201.419825563591,4.45340224680717e-38,2.26695987971472e-35,TRUE,"JCHAIN","protein_coding"
"8291","ENSG00000164442",-1.6612191160325,5.74267643315074,197.119058054958,1.99654143085191e-37,9.77230240346976e-35,TRUE,"CITED2","protein_coding"
"8061","ENSG00000163472",-2.35535730864942,3.31478324298563,196.014650776022,2.94238945746008e-37,1.38684623094952e-34,TRUE,"TMEM79","protein_coding"
"5172","ENSG00000133800",-2.83129209465188,2.99358545175815,195.824183003685,3.15328214170079e-37,1.43316673340301e-34,TRUE,"LYVE1","protein_coding"
